# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/D7795_v3_2018.tradis.gff" "-o" "D7795_output_MAC_1.deseq.fc.tsv" "D7795_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	D7795_output_MAC_1.deseq.bam
D7795_01408	D7795_v1_chr	1313463	1313732	-	270	15
D7795_01409	D7795_v1_chr	1314105	1314524	+	420	142
D7795_01410	D7795_v1_chr	1314680	1314808	-	129	7
D7795_01411	D7795_v1_chr	1314897	1315373	-	477	143
D7795_01412	D7795_v1_chr	1315505	1315675	-	171	94
D7795_01413	D7795_v1_chr	1315703	1316098	-	396	6
D7795_01414	D7795_v1_chr	1316782	1317504	+	723	5
D7795_01415	D7795_v1_chr	1317789	1317953	+	165	30
D7795_01416	D7795_v1_chr	1317926	1318159	+	234	44
D7795_01417	D7795_v1_chr	1318177	1318827	+	651	179
D7795_01418	D7795_v1_chr	1318846	1319037	-	192	27
D7795_01419	D7795_v1_chr	1319148	1319387	-	240	0
D7795_01420	D7795_v1_chr	1319502	1321043	-	1542	166
D7795_01421	D7795_v1_chr	1321019	1323652	-	2634	334
D7795_01422	D7795_v1_chr	1323621	1324904	-	1284	399
D7795_01423	D7795_v1_chr	1324961	1325530	+	570	50
D7795_01424	D7795_v1_chr	1325628	1326314	+	687	51
D7795_01425	D7795_v1_chr	1326334	1328382	+	2049	1
D7795_01426	D7795_v1_chr	1328576	1329457	+	882	41
D7795_01427	D7795_v1_chr	1329505	1330878	-	1374	131
D7795_01428	D7795_v1_chr	1330943	1331050	+	108	0
D7795_01429	D7795_v1_chr	1331054	1331845	+	792	78
D7795_01430	D7795_v1_chr	1332057	1332296	-	240	159
D7795_01431	D7795_v1_chr	1332454	1332597	+	144	24
D7795_01432	D7795_v1_chr	1332668	1332955	+	288	16
D7795_01433	D7795_v1_chr	1332959	1333045	-	87	92
D7795_01434	D7795_v1_chr	1333442	1333534	+	93	25
D7795_01435	D7795_v1_chr	1333604	1333747	+	144	2
D7795_01436	D7795_v1_chr	1333760	1333969	+	210	13
D7795_01437	D7795_v1_chr	1334189	1335934	+	1746	174
D7795_01438	D7795_v1_chr	1336000	1336809	+	810	30
D7795_01439	D7795_v1_chr	1336806	1337372	-	567	18
D7795_01440	D7795_v1_chr	1337782	1338240	-	459	53
D7795_01441	D7795_v1_chr	1338299	1339150	-	852	27
D7795_01442	D7795_v1_chr	1339163	1339963	-	801	13
D7795_01443	D7795_v1_chr	1340016	1340984	-	969	56
D7795_01444	D7795_v1_chr	1341134	1341469	+	336	14
D7795_01445	D7795_v1_chr	1341457	1343016	+	1560	82
D7795_01446	D7795_v1_chr	1343038	1344639	-	1602	212
D7795_01447	D7795_v1_chr	1344777	1346141	-	1365	430
D7795_01448	D7795_v1_chr	1346405	1346983	-	579	43
D7795_01449	D7795_v1_chr	1346987	1348351	-	1365	117
D7795_01450	D7795_v1_chr	1348432	1348611	+	180	44
D7795_01451	D7795_v1_chr	1348617	1348961	-	345	34
D7795_01452	D7795_v1_chr	1349092	1351002	+	1911	614
D7795_01453	D7795_v1_chr	1351060	1351755	+	696	0
D7795_01454	D7795_v1_chr	1351827	1352408	+	582	139
D7795_01455	D7795_v1_chr	1352547	1354298	+	1752	351
D7795_01456	D7795_v1_chr	1354383	1355498	+	1116	120
D7795_01457	D7795_v1_chr	1355620	1355886	-	267	0
D7795_01458	D7795_v1_chr	1355890	1356702	-	813	30
D7795_01459	D7795_v1_chr	1356726	1357433	-	708	95
D7795_01460	D7795_v1_chr	1357559	1357852	+	294	31
D7795_01461	D7795_v1_chr	1357902	1358561	+	660	13
D7795_01462	D7795_v1_chr	1358654	1359100	+	447	2
D7795_01463	D7795_v1_chr	1359452	1359589	+	138	22
D7795_01464	D7795_v1_chr	1359616	1359705	-	90	0
D7795_01465	D7795_v1_chr	1359781	1359954	+	174	0
D7795_01466	D7795_v1_chr	1360026	1360367	-	342	26
D7795_01467	D7795_v1_chr	1360476	1361006	-	531	82
D7795_01468	D7795_v1_chr	1361148	1362692	-	1545	857
D7795_01469	D7795_v1_chr	1362912	1363631	+	720	51
D7795_01470	D7795_v1_chr	1363678	1365210	-	1533	290
D7795_01471	D7795_v1_chr	1365533	1366831	+	1299	138
D7795_01472	D7795_v1_chr	1366845	1367915	+	1071	183
D7795_01473	D7795_v1_chr	1367978	1369711	-	1734	288
D7795_01474	D7795_v1_chr	1369808	1370722	-	915	87
D7795_01475	D7795_v1_chr	1370893	1371504	+	612	31
D7795_01476	D7795_v1_chr	1371518	1372252	-	735	185
D7795_01477	D7795_v1_chr	1372421	1372675	+	255	97
D7795_01478	D7795_v1_chr	1372738	1374450	-	1713	332
D7795_01479	D7795_v1_chr	1374664	1375938	-	1275	156
D7795_01480	D7795_v1_chr	1375973	1376328	+	356	39
D7795_01481	D7795_v1_chr	1376333	1376422	-	90	50
D7795_01482	D7795_v1_chr	1376435	1377571	-	1137	126
D7795_01483	D7795_v1_chr	1377583	1379127	-	1545	350
D7795_01484	D7795_v1_chr	1379202	1380050	-	849	43
D7795_01485	D7795_v1_chr	1380047	1380502	-	456	146
D7795_01486	D7795_v1_chr	1380441	1381037	-	597	164
D7795_01487	D7795_v1_chr	1381034	1381765	-	732	79
D7795_01488	D7795_v1_chr	1381784	1383577	-	1794	302
D7795_01489	D7795_v1_chr	1383574	1384692	-	1119	65
D7795_01490	D7795_v1_chr	1385607	1386059	-	453	6
D7795_01491	D7795_v1_chr	1386098	1386718	-	621	0
D7795_01492	D7795_v1_chr	1387477	1388568	-	1092	12
D7795_01493	D7795_v1_chr	1388685	1389269	-	585	7
D7795_01494	D7795_v1_chr	1389545	1389823	+	279	4
D7795_01495	D7795_v1_chr	1389868	1391526	-	1659	473
D7795_01496	D7795_v1_chr	1391678	1392625	-	948	0
D7795_01497	D7795_v1_chr	1392891	1393742	-	852	0
D7795_01498	D7795_v1_chr	1393739	1394362	-	624	9
D7795_01499	D7795_v1_chr	1394676	1395932	+	1257	0
D7795_01500	D7795_v1_chr	1395973	1397055	+	1083	0
D7795_01501	D7795_v1_chr	1397055	1397888	+	834	9
D7795_01502	D7795_v1_chr	1397885	1398274	+	390	0
D7795_01503	D7795_v1_chr	1398278	1399087	+	810	8
D7795_01504	D7795_v1_chr	1399125	1399979	+	855	0
D7795_01505	D7795_v1_chr	1400033	1401133	-	1101	327
D7795_01506	D7795_v1_chr	1401400	1401630	+	231	81
D7795_01507	D7795_v1_chr	1401710	1402063	-	354	32
D7795_01508	D7795_v1_chr	1402232	1402306	-	75	0
D7795_01509	D7795_v1_chr	1402240	1403664	+	1425	104
D7795_01510	D7795_v1_chr	1403665	1404315	-	651	219
D7795_01511	D7795_v1_chr	1404308	1406104	-	1797	531
D7795_01512	D7795_v1_chr	1406445	1407842	+	1398	186
D7795_01513	D7795_v1_chr	1407825	1407886	+	62	0
D7795_01514	D7795_v1_chr	1408230	1411973	+	3744	365
D7795_01515	D7795_v1_chr	1411970	1413508	+	1539	106
D7795_01516	D7795_v1_chr	1413505	1414215	+	711	203
D7795_01517	D7795_v1_chr	1414215	1414892	+	678	94
D7795_01518	D7795_v1_chr	1414914	1415121	-	208	0
D7795_01519	D7795_v1_chr	1415134	1416663	+	1530	230
D7795_01520	D7795_v1_chr	1417290	1417374	-	85	0
D7795_01521	D7795_v1_chr	1417585	1417669	-	85	0
D7795_01522	D7795_v1_chr	1418010	1418852	-	843	49
D7795_01523	D7795_v1_chr	1418903	1419361	-	459	118
D7795_01524	D7795_v1_chr	1419481	1420377	+	897	32
D7795_01525	D7795_v1_chr	1420468	1421481	+	1014	0
D7795_01526	D7795_v1_chr	1421684	1422592	+	909	0
D7795_01527	D7795_v1_chr	1422724	1423137	-	414	0
D7795_01528	D7795_v1_chr	1423800	1424417	+	618	145
D7795_01529	D7795_v1_chr	1424614	1427292	-	2679	463
D7795_01530	D7795_v1_chr	1427769	1428416	+	648	45
D7795_01531	D7795_v1_chr	1428447	1428525	-	79	11
D7795_01532	D7795_v1_chr	1428798	1429109	-	312	29
D7795_01533	D7795_v1_chr	1429180	1430811	+	1632	334
D7795_01534	D7795_v1_chr	1430933	1431853	+	921	117
D7795_01535	D7795_v1_chr	1431868	1432776	+	909	140
D7795_01536	D7795_v1_chr	1432788	1433795	+	1008	50
D7795_01537	D7795_v1_chr	1433792	1434796	+	1005	29
D7795_01538	D7795_v1_chr	1434844	1435680	+	837	123
D7795_01539	D7795_v1_chr	1435728	1436057	-	330	44
D7795_01540	D7795_v1_chr	1436091	1437551	-	1461	56
D7795_01541	D7795_v1_chr	1437581	1437904	+	324	50
D7795_01542	D7795_v1_chr	1437694	1437867	+	174	0
D7795_01543	D7795_v1_chr	1437911	1438207	-	297	0
D7795_01544	D7795_v1_chr	1438431	1439159	+	729	68
D7795_01545	D7795_v1_chr	1439218	1439619	-	402	11
D7795_01546	D7795_v1_chr	1439780	1440319	-	540	6
D7795_01547	D7795_v1_chr	1440376	1441119	-	744	120
D7795_01548	D7795_v1_chr	1441145	1441549	-	405	134
D7795_01549	D7795_v1_chr	1441887	1442525	+	639	23
D7795_01550	D7795_v1_chr	1442546	1442598	-	53	83
D7795_01551	D7795_v1_chr	1442607	1443485	-	879	122
D7795_01552	D7795_v1_chr	1443505	1444011	-	507	9
D7795_01553	D7795_v1_chr	1444085	1444588	-	504	62
D7795_01554	D7795_v1_chr	1444678	1444860	-	183	9
D7795_01555	D7795_v1_chr	1445340	1446146	-	807	217
D7795_01556	D7795_v1_chr	1446146	1447339	-	1194	320
D7795_01557	D7795_v1_chr	1447349	1448707	-	1359	0
D7795_01558	D7795_v1_chr	1448711	1450306	-	1596	310
D7795_01559	D7795_v1_chr	1450306	1451868	-	1563	277
D7795_01560	D7795_v1_chr	1451963	1452007	-	45	0
D7795_01561	D7795_v1_chr	1452141	1453010	+	870	59
D7795_01562	D7795_v1_chr	1453018	1453638	+	621	18
D7795_01563	D7795_v1_chr	1453739	1454614	+	876	3
D7795_01564	D7795_v1_chr	1454701	1455291	-	591	42
D7795_01565	D7795_v1_chr	1455288	1456049	-	762	104
D7795_01566	D7795_v1_chr	1456293	1457333	+	1041	150
D7795_01567	D7795_v1_chr	1457375	1457626	-	252	0
D7795_01568	D7795_v1_chr	1458029	1460626	+	2598	0
D7795_01569	D7795_v1_chr	1460582	1460734	-	153	55
D7795_01570	D7795_v1_chr	1461037	1462011	+	975	112
D7795_01571	D7795_v1_chr	1462304	1462432	+	129	0
D7795_01572	D7795_v1_chr	1462713	1462805	+	93	11
D7795_01573	D7795_v1_chr	1462988	1465663	+	2676	277
D7795_01574	D7795_v1_chr	1465719	1466309	-	591	0
D7795_01575	D7795_v1_chr	1466505	1467269	+	765	1
D7795_01576	D7795_v1_chr	1467419	1467727	+	309	0
D7795_01577	D7795_v1_chr	1467734	1468903	+	1170	0
D7795_01578	D7795_v1_chr	1469094	1469831	+	738	23
D7795_01579	D7795_v1_chr	1469831	1470157	+	327	24
D7795_01580	D7795_v1_chr	1470277	1470495	-	219	133
D7795_01581	D7795_v1_chr	1470754	1471476	-	723	68
D7795_01582	D7795_v1_chr	1471593	1471772	-	180	0
D7795_01583	D7795_v1_chr	1471894	1473876	-	1983	182
D7795_01584	D7795_v1_chr	1474138	1476072	-	1935	31
D7795_01585	D7795_v1_chr	1476161	1477294	-	1134	10
D7795_01586	D7795_v1_chr	1477494	1478282	-	789	0
D7795_01587	D7795_v1_chr	1478400	1478698	-	299	158
D7795_01588	D7795_v1_chr	1478673	1478852	-	180	0
D7795_01589	D7795_v1_chr	1478887	1480260	+	1374	6
D7795_01590	D7795_v1_chr	1480727	1481434	+	708	75
D7795_01591	D7795_v1_chr	1481450	1482256	-	807	0
D7795_01592	D7795_v1_chr	1482258	1483250	-	993	0
D7795_01593	D7795_v1_chr	1483250	1484140	-	891	1
D7795_01594	D7795_v1_chr	1484127	1485092	-	966	1
D7795_01595	D7795_v1_chr	1485089	1486738	-	1650	5
D7795_01596	D7795_v1_chr	1486850	1487830	-	981	84
D7795_01597	D7795_v1_chr	1488001	1488669	+	669	68
D7795_01598	D7795_v1_chr	1488729	1488953	+	225	13
D7795_01599	D7795_v1_chr	1488953	1489312	+	360	41
D7795_01600	D7795_v1_chr	1489335	1489553	+	219	27
D7795_01601	D7795_v1_chr	1489629	1489943	+	315	59
D7795_01602	D7795_v1_chr	1490092	1491489	+	1398	40
D7795_01603	D7795_v1_chr	1491486	1492547	+	1062	125
D7795_01604	D7795_v1_chr	1492695	1494236	+	1542	0
D7795_01605	D7795_v1_chr	1494326	1494832	-	507	59
D7795_01606	D7795_v1_chr	1494948	1495913	+	966	13
D7795_01607	D7795_v1_chr	1495888	1496616	-	729	213
D7795_01608	D7795_v1_chr	1496806	1498419	+	1614	293
D7795_01609	D7795_v1_chr	1498516	1499445	-	930	67
D7795_01610	D7795_v1_chr	1499564	1500469	+	906	185
D7795_01611	D7795_v1_chr	1500778	1501614	+	837	40
D7795_01612	D7795_v1_chr	1501705	1502418	-	714	0
D7795_01613	D7795_v1_chr	1502496	1503086	+	591	0
D7795_01614	D7795_v1_chr	1503215	1503451	+	237	43
D7795_01615	D7795_v1_chr	1503665	1504720	-	1056	438
D7795_01616	D7795_v1_chr	1505166	1506017	-	852	0
D7795_01617	D7795_v1_chr	1506404	1507162	+	759	63
D7795_01618	D7795_v1_chr	1507237	1509219	+	1983	412
D7795_01619	D7795_v1_chr	1509246	1510070	+	825	10
D7795_01620	D7795_v1_chr	1510208	1510726	+	519	0
D7795_01621	D7795_v1_chr	1510833	1511171	-	339	31
D7795_01622	D7795_v1_chr	1511199	1511885	-	687	47
D7795_01623	D7795_v1_chr	1512032	1512532	+	501	125
D7795_01624	D7795_v1_chr	1512614	1513645	-	1032	150
D7795_01625	D7795_v1_chr	1513884	1514138	+	255	64
D7795_01626	D7795_v1_chr	1514193	1515140	-	948	169
D7795_01627	D7795_v1_chr	1515291	1516043	-	753	105
D7795_01628	D7795_v1_chr	1516196	1516261	-	66	8
D7795_01629	D7795_v1_chr	1516239	1516754	-	516	79
D7795_01630	D7795_v1_chr	1517012	1517575	+	564	257
D7795_01631	D7795_v1_chr	1517986	1519140	+	1155	171
D7795_01632	D7795_v1_chr	1519286	1520269	+	984	15
D7795_01633	D7795_v1_chr	1520365	1520486	+	122	1
D7795_01634	D7795_v1_chr	1520545	1520727	+	183	60
D7795_01635	D7795_v1_chr	1520756	1522129	+	1374	67
D7795_01636	D7795_v1_chr	1522173	1523108	-	936	63
D7795_01637	D7795_v1_chr	1523160	1523432	-	273	47
D7795_01638	D7795_v1_chr	1523425	1524042	-	618	146
D7795_01639	D7795_v1_chr	1524070	1524387	-	318	0
D7795_01640	D7795_v1_chr	1524472	1524693	-	222	0
D7795_01641	D7795_v1_chr	1525131	1525652	+	522	100
D7795_01642	D7795_v1_chr	1525642	1525758	-	117	0
D7795_01643	D7795_v1_chr	1525927	1526067	-	141	0
D7795_01644	D7795_v1_chr	1526301	1526768	-	468	0
D7795_01645	D7795_v1_chr	1527041	1527370	+	330	119
D7795_01646	D7795_v1_chr	1527532	1528086	-	555	19
D7795_01647	D7795_v1_chr	1528083	1529015	-	933	29
D7795_01648	D7795_v1_chr	1529385	1529597	+	213	2
D7795_01649	D7795_v1_chr	1529888	1530058	+	171	0
D7795_01650	D7795_v1_chr	1530121	1530720	+	600	168
D7795_01651	D7795_v1_chr	1530720	1531010	+	291	104
D7795_01652	D7795_v1_chr	1531007	1531543	+	537	4
D7795_01653	D7795_v1_chr	1533042	1533290	+	249	88
D7795_01654	D7795_v1_chr	1533714	1534154	+	441	42
D7795_01655	D7795_v1_chr	1534100	1534498	+	399	0
D7795_01656	D7795_v1_chr	1534495	1535112	+	618	105
D7795_01657	D7795_v1_chr	1535135	1535497	+	363	0
D7795_01658	D7795_v1_chr	1535521	1537002	+	1482	302
D7795_01659	D7795_v1_chr	1537011	1537574	+	564	69
D7795_01660	D7795_v1_chr	1537799	1538470	+	672	296
D7795_01661	D7795_v1_chr	1538467	1539573	+	1107	4
D7795_01662	D7795_v1_chr	1540002	1540205	-	204	9
D7795_01663	D7795_v1_chr	1540306	1540644	+	339	64
D7795_01664	D7795_v1_chr	1540694	1541128	-	435	269
D7795_01665	D7795_v1_chr	1541473	1541581	+	109	10
D7795_01666	D7795_v1_chr	1541610	1545134	-	3525	395
D7795_01667	D7795_v1_chr	1545195	1545494	-	300	0
D7795_01668	D7795_v1_chr	1545410	1545676	+	267	0
D7795_01669	D7795_v1_chr	1545720	1546130	-	411	0
D7795_01670	D7795_v1_chr	1546241	1547230	-	990	180
D7795_01671	D7795_v1_chr	1547470	1550106	+	2637	290
D7795_01672	D7795_v1_chr	1550106	1550297	+	192	37
D7795_01673	D7795_v1_chr	1550305	1550628	+	324	28
D7795_01674	D7795_v1_chr	1550771	1551220	+	450	69
D7795_01675	D7795_v1_chr	1551217	1551822	-	606	100
D7795_01676	D7795_v1_chr	1552005	1555925	+	3921	34
D7795_01677	D7795_v1_chr	1555989	1556789	+	801	40
D7795_01678	D7795_v1_chr	1556906	1557436	+	531	154
D7795_01679	D7795_v1_chr	1557521	1557586	-	66	0
D7795_01680	D7795_v1_chr	1557707	1558369	-	663	121
D7795_01681	D7795_v1_chr	1558737	1558832	+	96	0
D7795_01682	D7795_v1_chr	1558833	1560383	-	1551	82
D7795_01683	D7795_v1_chr	1560520	1561200	-	681	3
D7795_01684	D7795_v1_chr	1561197	1561928	-	732	11
D7795_01685	D7795_v1_chr	1561953	1562585	-	633	0
D7795_01686	D7795_v1_chr	1562607	1563368	-	762	1
D7795_01687	D7795_v1_chr	1563485	1563619	-	135	0
D7795_01688	D7795_v1_chr	1564276	1564620	+	345	27
D7795_01689	D7795_v1_chr	1564741	1565967	-	1227	10
D7795_01690	D7795_v1_chr	1566393	1567109	+	717	0
D7795_01691	D7795_v1_chr	1567238	1567639	-	402	1
D7795_01692	D7795_v1_chr	1567274	1567399	+	126	0
D7795_01693	D7795_v1_chr	1568162	1568437	+	276	12
D7795_01694	D7795_v1_chr	1568469	1569587	+	1119	109
D7795_01695	D7795_v1_chr	1569756	1571381	+	1626	130
D7795_01696	D7795_v1_chr	1571442	1572365	-	924	62
D7795_01697	D7795_v1_chr	1572658	1574001	+	1344	109
D7795_01698	D7795_v1_chr	1574050	1575558	+	1509	164
D7795_01699	D7795_v1_chr	1575814	1577433	+	1620	243
D7795_01700	D7795_v1_chr	1577638	1578204	+	567	23
D7795_01701	D7795_v1_chr	1578382	1579101	-	720	19
D7795_01702	D7795_v1_chr	1579192	1580304	-	1113	60
D7795_01703	D7795_v1_chr	1580252	1580494	-	243	44
D7795_01704	D7795_v1_chr	1580518	1581612	-	1095	198
D7795_01705	D7795_v1_chr	1581696	1582463	-	768	48
D7795_01706	D7795_v1_chr	1582801	1584054	+	1254	153
D7795_01707	D7795_v1_chr	1584195	1584632	-	438	0
D7795_01708	D7795_v1_chr	1584632	1585423	-	792	0
D7795_01709	D7795_v1_chr	1585439	1586071	-	633	0
D7795_01710	D7795_v1_chr	1586083	1586520	-	438	0
D7795_01711	D7795_v1_chr	1586561	1586653	+	93	0
D7795_01712	D7795_v1_chr	1586652	1587458	-	807	37
D7795_01713	D7795_v1_chr	1587472	1588785	-	1314	99
D7795_01714	D7795_v1_chr	1588796	1589077	-	282	102
D7795_01715	D7795_v1_chr	1589074	1590192	-	1119	4
D7795_01716	D7795_v1_chr	1590409	1590948	+	540	131
D7795_01717	D7795_v1_chr	1590945	1591925	-	981	82
D7795_01718	D7795_v1_chr	1592032	1593045	+	1014	175
D7795_01719	D7795_v1_chr	1593032	1593628	+	597	124
D7795_01720	D7795_v1_chr	1593784	1594452	+	669	26
D7795_01721	D7795_v1_chr	1594506	1595684	-	1179	206
D7795_01722	D7795_v1_chr	1595777	1596313	+	537	36
D7795_01723	D7795_v1_chr	1596392	1598356	+	1965	177
D7795_01724	D7795_v1_chr	1598357	1598587	-	231	67
D7795_01725	D7795_v1_chr	1598861	1599811	-	951	0
D7795_01726	D7795_v1_chr	1600348	1600746	+	399	50
D7795_01727	D7795_v1_chr	1600779	1601009	+	231	36
D7795_01728	D7795_v1_chr	1601053	1601127	-	75	41
D7795_01729	D7795_v1_chr	1601268	1602038	+	771	146
D7795_01730	D7795_v1_chr	1602174	1603598	+	1425	142
D7795_01731	D7795_v1_chr	1603734	1604378	+	645	92
D7795_01732	D7795_v1_chr	1604389	1605159	+	771	78
D7795_01733	D7795_v1_chr	1605188	1605381	-	194	19
D7795_01734	D7795_v1_chr	1605558	1605731	+	174	0
D7795_01735	D7795_v1_chr	1605776	1607920	-	2145	156
D7795_01736	D7795_v1_chr	1607917	1610898	-	2982	462
D7795_01737	D7795_v1_chr	1610903	1612228	-	1326	212
D7795_01738	D7795_v1_chr	1612452	1612685	+	234	0
D7795_01739	D7795_v1_chr	1612690	1613139	-	450	0
D7795_01740	D7795_v1_chr	1613139	1613654	-	516	113
D7795_01741	D7795_v1_chr	1613866	1614903	+	1038	229
D7795_01742	D7795_v1_chr	1615237	1615902	+	666	367
D7795_01743	D7795_v1_chr	1615958	1618123	-	2166	306
D7795_01744	D7795_v1_chr	1618342	1619403	+	1062	32
D7795_01745	D7795_v1_chr	1619548	1619769	+	222	15
D7795_01746	D7795_v1_chr	1619846	1621339	-	1494	133
D7795_01747	D7795_v1_chr	1621852	1622484	+	633	138
D7795_01748	D7795_v1_chr	1622768	1623613	+	846	110
D7795_01749	D7795_v1_chr	1623649	1624542	-	894	85
D7795_01750	D7795_v1_chr	1624648	1625328	-	681	225
D7795_01751	D7795_v1_chr	1625325	1626020	-	696	113
D7795_01752	D7795_v1_chr	1626020	1627564	-	1545	249
D7795_01753	D7795_v1_chr	1627561	1631289	-	3729	196
D7795_01754	D7795_v1_chr	1631381	1632769	-	1389	43
D7795_01755	D7795_v1_chr	1632984	1633562	-	579	40
D7795_01756	D7795_v1_chr	1633680	1635167	+	1488	259
D7795_01757	D7795_v1_chr	1635192	1635632	-	441	60
D7795_01758	D7795_v1_chr	1635716	1636804	-	1089	103
D7795_01759	D7795_v1_chr	1637327	1638208	-	882	583
D7795_01760	D7795_v1_chr	1638486	1641533	+	3048	258
D7795_01761	D7795_v1_chr	1641547	1642431	+	885	154
D7795_01762	D7795_v1_chr	1642424	1643080	+	657	12
D7795_01763	D7795_v1_chr	1642916	1643101	+	186	0
D7795_01764	D7795_v1_chr	1643171	1644181	-	1011	286
D7795_01765	D7795_v1_chr	1644463	1646160	-	1698	230
D7795_01766	D7795_v1_chr	1646337	1646480	-	144	41
D7795_01767	D7795_v1_chr	1646575	1646790	-	216	37
D7795_01768	D7795_v1_chr	1647303	1647734	+	432	319
D7795_01769	D7795_v1_chr	1648084	1648413	+	330	72
D7795_01770	D7795_v1_chr	1648556	1649341	+	786	46
D7795_01771	D7795_v1_chr	1649470	1651254	+	1785	108
D7795_01772	D7795_v1_chr	1651251	1653779	+	2529	148
D7795_01773	D7795_v1_chr	1653836	1655911	+	2076	58
D7795_01774	D7795_v1_chr	1656024	1657226	-	1203	134
D7795_01775	D7795_v1_chr	1657239	1658690	-	1452	222
D7795_01776	D7795_v1_chr	1658834	1659814	-	981	30
D7795_01777	D7795_v1_chr	1660072	1660353	+	282	0
D7795_01778	D7795_v1_chr	1660140	1660408	+	269	19
D7795_01779	D7795_v1_chr	1660642	1660974	-	333	17
D7795_01780	D7795_v1_chr	1661019	1661153	+	135	12
D7795_01781	D7795_v1_chr	1661225	1662205	-	981	81
D7795_01782	D7795_v1_chr	1662398	1662886	-	489	24
D7795_01783	D7795_v1_chr	1662931	1664439	+	1509	57
D7795_01784	D7795_v1_chr	1664429	1665670	+	1242	188
D7795_01785	D7795_v1_chr	1665806	1667296	+	1491	54
D7795_01786	D7795_v1_chr	1667473	1668759	+	1287	23
D7795_01787	D7795_v1_chr	1668734	1669759	+	1026	213
D7795_01788	D7795_v1_chr	1669818	1670489	-	672	29
D7795_01789	D7795_v1_chr	1670655	1671743	-	1089	76
D7795_01790	D7795_v1_chr	1672174	1673277	+	1104	163
D7795_01791	D7795_v1_chr	1673280	1675082	+	1803	186
D7795_01792	D7795_v1_chr	1675102	1675776	+	675	52
D7795_01793	D7795_v1_chr	1675782	1676390	+	609	0
D7795_01794	D7795_v1_chr	1676390	1676689	+	300	4
D7795_01795	D7795_v1_chr	1676686	1677096	+	411	14
D7795_01796	D7795_v1_chr	1677114	1678175	+	1062	162
D7795_01797	D7795_v1_chr	1678163	1679050	+	888	145
D7795_01798	D7795_v1_chr	1679063	1679404	+	342	16
D7795_01799	D7795_v1_chr	1679428	1679599	-	172	0
D7795_01800	D7795_v1_chr	1679545	1680663	-	1119	156
D7795_01801	D7795_v1_chr	1681395	1681922	+	528	73
D7795_01802	D7795_v1_chr	1681978	1682925	-	948	117
D7795_01803	D7795_v1_chr	1683147	1683506	-	360	0
D7795_01804	D7795_v1_chr	1683506	1684432	-	927	1
D7795_01805	D7795_v1_chr	1684505	1685893	-	1389	162
D7795_01806	D7795_v1_chr	1685996	1686868	+	873	216
D7795_01807	D7795_v1_chr	1686984	1688174	+	1191	95
D7795_01808	D7795_v1_chr	1688221	1688886	-	666	131
D7795_01809	D7795_v1_chr	1689145	1689579	+	435	37
D7795_01810	D7795_v1_chr	1689599	1689982	+	384	0
D7795_01811	D7795_v1_chr	1690017	1690226	+	210	0
D7795_01812	D7795_v1_chr	1690192	1690260	+	69	0
D7795_01813	D7795_v1_chr	1690345	1691247	-	903	33
D7795_01814	D7795_v1_chr	1691475	1692191	+	717	160
D7795_01815	D7795_v1_chr	1692175	1692663	+	489	67
D7795_01816	D7795_v1_chr	1692911	1693006	+	96	0
D7795_01817	D7795_v1_chr	1693086	1693184	-	99	0
D7795_01818	D7795_v1_chr	1693354	1693746	-	393	143
D7795_01819	D7795_v1_chr	1694174	1694701	+	528	84
D7795_01820	D7795_v1_chr	1694821	1695003	-	183	3
D7795_01821	D7795_v1_chr	1695347	1697389	-	2043	213
D7795_01822	D7795_v1_chr	1697528	1698274	+	747	115
D7795_01823	D7795_v1_chr	1698404	1699090	+	687	0
D7795_01824	D7795_v1_chr	1699272	1699475	+	204	4
D7795_01825	D7795_v1_chr	1699542	1701008	-	1467	267
D7795_01826	D7795_v1_chr	1701152	1702531	-	1380	194
D7795_01827	D7795_v1_chr	1702585	1703604	-	1020	77
D7795_01828	D7795_v1_chr	1703615	1704829	-	1215	331
D7795_01829	D7795_v1_chr	1704951	1705286	-	336	0
D7795_01830	D7795_v1_chr	1705429	1705770	+	342	17
D7795_01831	D7795_v1_chr	1705806	1706366	+	561	23
D7795_01832	D7795_v1_chr	1706407	1707084	-	678	15
D7795_01833	D7795_v1_chr	1707224	1707529	+	306	36
D7795_01834	D7795_v1_chr	1707686	1710124	+	2439	374
D7795_01835	D7795_v1_chr	1710250	1712658	+	2409	142
D7795_01836	D7795_v1_chr	1712669	1713286	+	618	93
D7795_01837	D7795_v1_chr	1713288	1714145	+	858	200
D7795_01838	D7795_v1_chr	1714188	1714802	+	615	0
D7795_01839	D7795_v1_chr	1715107	1715817	+	711	93
D7795_01840	D7795_v1_chr	1715846	1716748	+	903	202
D7795_01841	D7795_v1_chr	1716758	1717405	+	648	54
D7795_01842	D7795_v1_chr	1717405	1718553	+	1149	26
D7795_01843	D7795_v1_chr	1718725	1719978	+	1254	126
D7795_01844	D7795_v1_chr	1719934	1720629	-	696	7
D7795_01845	D7795_v1_chr	1720755	1721975	-	1221	6
D7795_01846	D7795_v1_chr	1722103	1723002	-	900	164
D7795_01847	D7795_v1_chr	1723122	1724375	+	1254	0
D7795_01848	D7795_v1_chr	1724383	1724643	-	261	35
