# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.ess_90.gff" "-o" "P125109_output_MAC.ess.fc.tsv" "P125109_output_MAC.ess.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_output_MAC.ess.bam
P125109_01135	P125109_v1_chr	1111871	1112278	+	408	1
P125109_01136	P125109_v1_chr	1112386	1112790	+	405	7
P125109_01137	P125109_v1_chr	1112964	1114084	+	1121	37
P125109_01138	P125109_v1_chr	1114395	1115096	-	702	40
P125109_01139	P125109_v1_chr	1115364	1115615	+	252	0
P125109_01140	P125109_v1_chr	1115639	1115979	+	341	0
P125109_01141	P125109_v1_chr	1116190	1116297	+	108	2
P125109_01142	P125109_v1_chr	1116556	1116747	+	192	10
P125109_01143	P125109_v1_chr	1117345	1118422	-	1078	43
P125109_01144	P125109_v1_chr	1118731	1118816	-	86	1
P125109_01145	P125109_v1_chr	1119072	1119352	+	281	8
P125109_01146	P125109_v1_chr	1119463	1120089	+	627	7
P125109_01147	P125109_v1_chr	1120232	1121519	+	1288	21
P125109_01148	P125109_v1_chr	1121643	1122066	+	424	6
P125109_01149	P125109_v1_chr	1122194	1123022	-	829	13
P125109_01150	P125109_v1_chr	1123198	1124018	+	821	35
P125109_01151	P125109_v1_chr	1124186	1124353	+	168	1
P125109_01152	P125109_v1_chr	1124536	1126077	+	1542	43
P125109_01153	P125109_v1_chr	1126308	1127042	-	735	17
P125109_01154	P125109_v1_chr	1127257	1127335	+	79	0
P125109_01155	P125109_v1_chr	1127374	1127579	-	206	2
P125109_01156	P125109_v1_chr	1127708	1127883	+	176	5
P125109_01157	P125109_v1_chr	1128003	1128564	-	562	19
P125109_01158	P125109_v1_chr	1128925	1129640	-	716	22
P125109_01159	P125109_v1_chr	1129676	1129918	-	243	7
P125109_01160	P125109_v1_chr	1130001	1130665	-	665	6
P125109_01161	P125109_v1_chr	1130702	1131042	-	341	2
P125109_01162	P125109_v1_chr	1131083	1131455	-	373	10
P125109_01163	P125109_v1_chr	1131552	1132456	-	905	29
P125109_01164	P125109_v1_chr	1132507	1132928	-	422	1
P125109_01165	P125109_v1_chr	1133154	1134250	-	1097	30
P125109_01166	P125109_v1_chr	1134291	1134690	-	400	4
P125109_01167	P125109_v1_chr	1134849	1136082	-	1234	10
P125109_01168	P125109_v1_chr	1136152	1136789	-	638	17
P125109_01169	P125109_v1_chr	1136881	1137777	-	897	26
P125109_01170	P125109_v1_chr	1137938	1139452	-	1515	43
P125109_01171	P125109_v1_chr	1139669	1139952	+	284	8
P125109_01172	P125109_v1_chr	1140141	1140489	-	349	28
P125109_01173	P125109_v1_chr	1140777	1140987	-	211	10
P125109_01174	P125109_v1_chr	1141104	1142189	-	1086	23
P125109_01175	P125109_v1_chr	1142375	1142747	+	373	4
P125109_01176	P125109_v1_chr	1142976	1144312	-	1337	37
P125109_01177	P125109_v1_chr	1144420	1144752	-	333	21
P125109_01178	P125109_v1_chr	1144792	1145159	-	368	15
P125109_01179	P125109_v1_chr	1145314	1146580	-	1267	68
P125109_01180	P125109_v1_chr	1146836	1148202	+	1367	187
P125109_01181	P125109_v1_chr	1148432	1149517	+	1086	94
P125109_01182	P125109_v1_chr	1149834	1150481	+	648	15
P125109_01183	P125109_v1_chr	1150612	1151108	+	497	14
P125109_01184	P125109_v1_chr	1151310	1152030	+	721	20
P125109_01185	P125109_v1_chr	1152264	1153152	+	889	31
P125109_01186	P125109_v1_chr	1153271	1153873	+	603	14
P125109_01187	P125109_v1_chr	1153936	1154613	+	678	21
P125109_01188	P125109_v1_chr	1154921	1155571	+	651	65
P125109_01189	P125109_v1_chr	1155732	1155934	-	203	27
P125109_01190	P125109_v1_chr	1155946	1156086	-	141	10
P125109_01191	P125109_v1_chr	1156258	1156328	+	71	1
P125109_01192	P125109_v1_chr	1156398	1156989	+	592	38
P125109_01193	P125109_v1_chr	1157051	1158700	+	1650	49
P125109_01194	P125109_v1_chr	1158940	1159434	+	495	0
P125109_01195	P125109_v1_chr	1159640	1159708	+	69	1
P125109_01196	P125109_v1_chr	1159767	1159833	+	67	0
P125109_01197	P125109_v1_chr	1159852	1159930	+	79	0
P125109_01198	P125109_v1_chr	1159955	1160000	+	46	6
P125109_01199	P125109_v1_chr	1160318	1160498	+	181	19
P125109_01200	P125109_v1_chr	1160738	1162028	+	1291	127
P125109_01201	P125109_v1_chr	1162384	1162678	+	295	25
P125109_01202	P125109_v1_chr	1162949	1163548	+	600	19
P125109_01203	P125109_v1_chr	1163815	1164957	-	1143	21
P125109_01204	P125109_v1_chr	1165127	1165342	+	216	4
P125109_01205	P125109_v1_chr	1165461	1165909	-	449	60
P125109_01206	P125109_v1_chr	1166182	1166484	-	303	12
P125109_01207	P125109_v1_chr	1166740	1167315	+	576	14
P125109_01208	P125109_v1_chr	1167607	1168060	-	454	15
P125109_01209	P125109_v1_chr	1168610	1169112	+	503	27
P125109_01210	P125109_v1_chr	1169702	1170514	+	813	27
P125109_01211	P125109_v1_chr	1170579	1171858	+	1280	31
P125109_01212	P125109_v1_chr	1172060	1172446	-	387	11
P125109_01213	P125109_v1_chr	1172454	1172559	-	106	2
P125109_01214	P125109_v1_chr	1173242	1173549	+	308	5
P125109_01215	P125109_v1_chr	1173586	1174107	+	522	12
P125109_01216	P125109_v1_chr	1174289	1175088	+	800	18
P125109_01217	P125109_v1_chr	1175173	1176009	+	837	19
P125109_01218	P125109_v1_chr	1176107	1177921	+	1815	48
P125109_01219	P125109_v1_chr	1178143	1178596	+	454	14
P125109_01220	P125109_v1_chr	1178883	1180378	+	1496	47
P125109_01221	P125109_v1_chr	1180698	1181478	+	781	22
P125109_01222	P125109_v1_chr	1181561	1182505	+	945	11
P125109_01223	P125109_v1_chr	1182628	1182978	+	351	10
P125109_01224	P125109_v1_chr	1183025	1183608	+	584	8
P125109_01225	P125109_v1_chr	1183599	1183774	-	176	4
P125109_01226	P125109_v1_chr	1183866	1184902	+	1037	24
P125109_01227	P125109_v1_chr	1185010	1186881	+	1872	64
P125109_01228	P125109_v1_chr	1187088	1187441	+	354	6
P125109_01229	P125109_v1_chr	1187717	1188742	+	1026	35
P125109_01230	P125109_v1_chr	1189097	1190781	-	1685	40
P125109_01231	P125109_v1_chr	1191143	1192703	-	1561	2
P125109_01232	P125109_v1_chr	1192940	1193452	+	513	4
P125109_01233	P125109_v1_chr	1193529	1194201	+	673	2
P125109_01234	P125109_v1_chr	1194048	1194324	+	277	10
P125109_01235	P125109_v1_chr	1194608	1195482	-	875	20
P125109_01236	P125109_v1_chr	1195553	1196222	-	670	17
P125109_01237	P125109_v1_chr	1196302	1196658	-	357	15
P125109_01238	P125109_v1_chr	1196792	1197529	-	738	31
P125109_01239	P125109_v1_chr	1197582	1198092	-	511	14
P125109_01240	P125109_v1_chr	1198417	1200012	+	1596	3
P125109_01241	P125109_v1_chr	1200292	1200699	+	408	16
P125109_01242	P125109_v1_chr	1200774	1201440	+	667	11
P125109_01243	P125109_v1_chr	1201551	1202020	+	470	4
P125109_01244	P125109_v1_chr	1202134	1202673	-	540	31
P125109_01245	P125109_v1_chr	1202882	1203505	+	624	3
P125109_01246	P125109_v1_chr	1203934	1204484	+	551	3
P125109_01247	P125109_v1_chr	1204554	1205463	+	910	4
P125109_01248	P125109_v1_chr	1205721	1206428	-	708	14
P125109_01249	P125109_v1_chr	1206500	1207180	-	681	12
P125109_01250	P125109_v1_chr	1207202	1208103	+	902	14
P125109_01251	P125109_v1_chr	1208219	1209406	+	1188	33
P125109_01252	P125109_v1_chr	1209655	1210529	+	875	3
P125109_01253	P125109_v1_chr	1210843	1212141	-	1299	23
P125109_01254	P125109_v1_chr	1212352	1213134	-	783	17
P125109_01255	P125109_v1_chr	1213476	1214804	+	1329	28
P125109_01256	P125109_v1_chr	1214942	1215045	+	104	2
P125109_01257	P125109_v1_chr	1215186	1216816	+	1631	51
P125109_01258	P125109_v1_chr	1217035	1217612	+	578	8
P125109_01259	P125109_v1_chr	1217893	1218954	-	1062	42
P125109_01260	P125109_v1_chr	1219085	1219346	+	262	5
P125109_01261	P125109_v1_chr	1219443	1219761	+	319	13
P125109_01262	P125109_v1_chr	1219890	1220483	+	594	21
P125109_01263	P125109_v1_chr	1220649	1220731	-	83	0
P125109_01264	P125109_v1_chr	1220762	1222608	+	1847	66
P125109_01265	P125109_v1_chr	1222919	1223548	-	630	17
P125109_01266	P125109_v1_chr	1223637	1224228	-	592	18
P125109_01267	P125109_v1_chr	1224359	1224566	-	208	4
P125109_01268	P125109_v1_chr	1224704	1225041	+	338	5
P125109_01269	P125109_v1_chr	1225079	1225867	+	789	18
P125109_01270	P125109_v1_chr	1225971	1226289	+	319	10
P125109_01271	P125109_v1_chr	1226366	1226645	-	280	3
P125109_01272	P125109_v1_chr	1226465	1226557	+	93	0
P125109_01273	P125109_v1_chr	1226815	1227786	-	972	44
P125109_01274	P125109_v1_chr	1227788	1228039	-	252	13
P125109_01275	P125109_v1_chr	1228453	1230234	+	1782	71
P125109_01276	P125109_v1_chr	1230453	1230666	+	214	5
P125109_01277	P125109_v1_chr	1230727	1230837	+	111	1
P125109_01278	P125109_v1_chr	1231064	1231339	+	276	5
P125109_01279	P125109_v1_chr	1231433	1231972	+	540	10
P125109_01280	P125109_v1_chr	1232029	1232234	+	206	6
P125109_01281	P125109_v1_chr	1232386	1233006	+	621	35
P125109_01282	P125109_v1_chr	1233172	1233644	+	473	57
P125109_01283	P125109_v1_chr	1233930	1234059	+	130	6
P125109_01284	P125109_v1_chr	1234115	1234519	-	405	25
P125109_01285	P125109_v1_chr	1234736	1234860	+	125	28
P125109_01286	P125109_v1_chr	1234927	1235353	-	427	56
P125109_01287	P125109_v1_chr	1235827	1236137	+	311	30
P125109_01288	P125109_v1_chr	1236155	1236562	+	408	11
P125109_01289	P125109_v1_chr	1236604	1237054	+	451	5
P125109_01290	P125109_v1_chr	1237261	1237590	+	330	8
P125109_01291	P125109_v1_chr	1237683	1237834	-	152	4
P125109_01292	P125109_v1_chr	1238052	1238532	-	481	26
P125109_01293	P125109_v1_chr	1238622	1239248	+	627	17
P125109_01294	P125109_v1_chr	1239327	1239580	+	254	18
P125109_01295	P125109_v1_chr	1239602	1241726	+	2125	61
P125109_01296	P125109_v1_chr	1242105	1242750	+	646	18
P125109_01297	P125109_v1_chr	1242943	1243148	+	206	12
P125109_01298	P125109_v1_chr	1243444	1244094	-	651	5
P125109_01299	P125109_v1_chr	1244301	1244444	+	144	10
P125109_01300	P125109_v1_chr	1244602	1244855	-	254	0
P125109_01301	P125109_v1_chr	1246206	1246322	+	117	0
P125109_01302	P125109_v1_chr	1246346	1246588	-	243	19
P125109_01303	P125109_v1_chr	1246660	1247172	-	513	56
P125109_01304	P125109_v1_chr	1247297	1247885	-	589	19
P125109_01305	P125109_v1_chr	1247916	1248123	+	208	4
P125109_01306	P125109_v1_chr	1248200	1248680	+	481	23
P125109_01307	P125109_v1_chr	1249006	1249157	-	152	8
P125109_01308	P125109_v1_chr	1249465	1249907	+	443	5
P125109_01309	P125109_v1_chr	1249943	1250104	+	162	1
P125109_01310	P125109_v1_chr	1250142	1250479	+	338	7
P125109_01311	P125109_v1_chr	1250509	1251046	+	538	12
P125109_01312	P125109_v1_chr	1251426	1252044	+	619	46
P125109_01313	P125109_v1_chr	1252061	1252511	+	451	49
P125109_01314	P125109_v1_chr	1252678	1252858	-	181	5
P125109_01315	P125109_v1_chr	1253327	1253437	-	111	14
P125109_01316	P125109_v1_chr	1253810	1253923	+	114	15
P125109_01317	P125109_v1_chr	1254117	1254227	+	111	18
P125109_01318	P125109_v1_chr	1254215	1254344	+	130	10
P125109_01319	P125109_v1_chr	1254749	1255302	-	554	36
P125109_01320	P125109_v1_chr	1255327	1255470	-	144	3
P125109_01321	P125109_v1_chr	1255694	1256517	-	824	60
P125109_01322	P125109_v1_chr	1257535	1257759	-	225	0
P125109_01323	P125109_v1_chr	1258001	1258179	-	179	14
P125109_01324	P125109_v1_chr	1258303	1259347	+	1045	26
P125109_01325	P125109_v1_chr	1259571	1259819	-	249	12
P125109_01326	P125109_v1_chr	1259840	1259966	+	127	9
P125109_01327	P125109_v1_chr	1259989	1260231	-	243	9
P125109_01328	P125109_v1_chr	1260604	1260981	+	378	18
P125109_01329	P125109_v1_chr	1261191	1261307	-	117	4
P125109_01330	P125109_v1_chr	1261443	1261872	-	430	55
P125109_01331	P125109_v1_chr	1262021	1262174	-	154	18
P125109_01332	P125109_v1_chr	1262241	1262597	-	357	2
P125109_01333	P125109_v1_chr	1263281	1263931	+	651	23
P125109_01334	P125109_v1_chr	1264288	1264436	+	149	14
P125109_01335	P125109_v1_chr	1264425	1264635	+	211	17
P125109_01336	P125109_v1_chr	1264676	1265261	+	586	20
P125109_01337	P125109_v1_chr	1265364	1265536	-	173	5
P125109_01338	P125109_v1_chr	1265671	1265886	-	216	1
P125109_01339	P125109_v1_chr	1266155	1267542	-	1388	32
P125109_01340	P125109_v1_chr	1267781	1270151	-	2371	55
P125109_01341	P125109_v1_chr	1270248	1271403	-	1156	20
P125109_01342	P125109_v1_chr	1271460	1271972	+	513	8
P125109_01343	P125109_v1_chr	1272127	1272745	+	619	12
P125109_01344	P125109_v1_chr	1272833	1274677	+	1845	15
P125109_01345	P125109_v1_chr	1275075	1275868	+	794	7
P125109_01346	P125109_v1_chr	1276141	1277377	-	1237	14
P125109_01347	P125109_v1_chr	1277442	1277539	+	98	2
P125109_01348	P125109_v1_chr	1277553	1278265	+	713	16
P125109_01349	P125109_v1_chr	1278580	1278795	-	216	46
P125109_01350	P125109_v1_chr	1278953	1279082	+	130	4
P125109_01351	P125109_v1_chr	1279167	1279426	+	260	10
P125109_01352	P125109_v1_chr	1279466	1279544	-	79	3
P125109_01353	P125109_v1_chr	1279941	1280024	+	84	0
P125109_01354	P125109_v1_chr	1280103	1280232	+	130	10
P125109_01355	P125109_v1_chr	1280259	1280447	+	189	5
P125109_01356	P125109_v1_chr	1280688	1282259	+	1572	22
P125109_01357	P125109_v1_chr	1282499	1283227	+	729	12
P125109_01358	P125109_v1_chr	1283361	1283871	-	511	13
P125109_01359	P125109_v1_chr	1284326	1284739	-	414	17
P125109_01360	P125109_v1_chr	1284883	1285649	-	767	17
P125109_01361	P125109_v1_chr	1285742	1286462	-	721	13
P125109_01362	P125109_v1_chr	1286611	1287483	-	873	15
P125109_01363	P125109_v1_chr	1287633	1287935	+	303	9
P125109_01364	P125109_v1_chr	1287956	1289359	+	1404	31
P125109_01365	P125109_v1_chr	1289697	1291138	-	1442	43
P125109_01366	P125109_v1_chr	1291412	1292640	-	1229	29
P125109_01367	P125109_v1_chr	1292961	1293482	-	522	4
P125109_01368	P125109_v1_chr	1293622	1294850	-	1229	38
P125109_01369	P125109_v1_chr	1294931	1295092	+	162	8
P125109_01370	P125109_v1_chr	1295150	1295460	-	311	12
P125109_01371	P125109_v1_chr	1295591	1297310	+	1720	39
P125109_01372	P125109_v1_chr	1297559	1298185	+	627	5
P125109_01373	P125109_v1_chr	1298326	1298849	+	524	13
P125109_01374	P125109_v1_chr	1299046	1300622	+	1577	35
P125109_01375	P125109_v1_chr	1300882	1301886	+	1005	18
P125109_01376	P125109_v1_chr	1302145	1302385	-	241	5
P125109_01377	P125109_v1_chr	1302470	1303201	-	732	37
P125109_01378	P125109_v1_chr	1303295	1303932	-	638	14
P125109_01379	P125109_v1_chr	1304058	1304322	+	265	23
P125109_01380	P125109_v1_chr	1304401	1304994	+	594	29
P125109_01381	P125109_v1_chr	1305153	1305555	+	403	15
P125109_01382	P125109_v1_chr	1305951	1306075	+	125	3
P125109_01383	P125109_v1_chr	1306124	1306204	-	81	3
P125109_01384	P125109_v1_chr	1306280	1306436	+	157	6
P125109_01385	P125109_v1_chr	1306559	1306866	-	308	7
P125109_01386	P125109_v1_chr	1307028	1307505	-	478	7
P125109_01387	P125109_v1_chr	1307801	1309191	-	1391	21
P125109_01388	P125109_v1_chr	1309411	1310058	+	648	20
P125109_01389	P125109_v1_chr	1310330	1311709	-	1380	37
P125109_01390	P125109_v1_chr	1312032	1313201	+	1170	12
P125109_01391	P125109_v1_chr	1313344	1314307	+	964	24
P125109_01392	P125109_v1_chr	1314650	1316210	-	1561	25
P125109_01393	P125109_v1_chr	1316398	1317221	-	824	27
P125109_01394	P125109_v1_chr	1317392	1317942	+	551	7
P125109_01395	P125109_v1_chr	1318090	1318751	-	662	29
P125109_01396	P125109_v1_chr	1318920	1319149	+	230	4
P125109_01397	P125109_v1_chr	1319408	1320949	-	1542	24
P125109_01398	P125109_v1_chr	1321290	1322437	-	1148	27
P125109_01399	P125109_v1_chr	1322472	1322792	+	321	4
P125109_01400	P125109_v1_chr	1322841	1322921	-	81	2
P125109_01401	P125109_v1_chr	1323047	1324070	-	1024	24
P125109_01402	P125109_v1_chr	1324236	1325626	-	1391	27
P125109_01403	P125109_v1_chr	1325785	1326549	-	765	17
P125109_01404	P125109_v1_chr	1326591	1327001	-	411	10
P125109_01405	P125109_v1_chr	1326999	1327536	-	538	10
P125109_01406	P125109_v1_chr	1327606	1328264	-	659	17
P125109_01407	P125109_v1_chr	1328462	1330076	-	1615	38
P125109_01408	P125109_v1_chr	1330184	1331191	-	1008	14
P125109_01409	P125109_v1_chr	1332151	1332558	-	408	6
P125109_01410	P125109_v1_chr	1332659	1333217	-	559	2
P125109_01411	P125109_v1_chr	1334085	1335067	-	983	21
P125109_01412	P125109_v1_chr	1335242	1335768	-	527	0
P125109_01413	P125109_v1_chr	1336044	1336295	+	252	4
P125109_01414	P125109_v1_chr	1336532	1338025	-	1494	23
P125109_01415	P125109_v1_chr	1338271	1339124	-	854	1
P125109_01416	P125109_v1_chr	1339475	1340241	-	767	5
P125109_01417	P125109_v1_chr	1340300	1340861	-	562	3
P125109_01418	P125109_v1_chr	1341175	1342306	+	1132	0
P125109_01419	P125109_v1_chr	1342472	1343446	+	975	3
P125109_01420	P125109_v1_chr	1343554	1344304	+	751	14
P125109_01421	P125109_v1_chr	1344384	1344734	+	351	7
P125109_01422	P125109_v1_chr	1344777	1345505	+	729	20
P125109_01423	P125109_v1_chr	1345624	1346393	+	770	3
P125109_01424	P125109_v1_chr	1346642	1347632	-	991	41
P125109_01425	P125109_v1_chr	1347899	1348106	+	208	4
P125109_01426	P125109_v1_chr	1348244	1348562	-	319	17
P125109_01427	P125109_v1_chr	1348738	1348805	-	68	0
P125109_01428	P125109_v1_chr	1348739	1350021	+	1283	31
P125109_01429	P125109_v1_chr	1350229	1350814	-	586	16
P125109_01430	P125109_v1_chr	1350986	1352603	-	1618	58
P125109_01431	P125109_v1_chr	1352944	1354202	+	1259	34
P125109_01432	P125109_v1_chr	1354324	1354379	+	56	2
P125109_01433	P125109_v1_chr	1354729	1358098	+	3370	47
P125109_01434	P125109_v1_chr	1358469	1359854	+	1386	16
P125109_01435	P125109_v1_chr	1360004	1360643	+	640	14
P125109_01436	P125109_v1_chr	1360714	1361324	+	611	9
P125109_01437	P125109_v1_chr	1361433	1361620	-	188	1
P125109_01438	P125109_v1_chr	1361633	1363009	+	1377	17
P125109_01439	P125109_v1_chr	1363797	1363873	-	77	2
P125109_01440	P125109_v1_chr	1364092	1364168	-	77	0
P125109_01441	P125109_v1_chr	1364593	1365351	-	759	18
P125109_01442	P125109_v1_chr	1365447	1365860	-	414	5
P125109_01443	P125109_v1_chr	1365980	1366787	+	808	10
P125109_01444	P125109_v1_chr	1366967	1367879	+	913	2
P125109_01445	P125109_v1_chr	1368183	1369001	+	819	1
P125109_01446	P125109_v1_chr	1369264	1369636	-	373	0
P125109_01447	P125109_v1_chr	1370299	1370855	+	557	40
P125109_01448	P125109_v1_chr	1371380	1373791	-	2412	31
P125109_01449	P125109_v1_chr	1374268	1374851	+	584	8
P125109_01450	P125109_v1_chr	1374953	1375024	-	72	2
P125109_01451	P125109_v1_chr	1375328	1375608	-	281	16
P125109_01452	P125109_v1_chr	1375679	1377147	+	1469	55
P125109_01453	P125109_v1_chr	1377432	1378260	+	829	11
P125109_01454	P125109_v1_chr	1378367	1379185	+	819	9
P125109_01455	P125109_v1_chr	1379287	1380194	+	908	15
P125109_01456	P125109_v1_chr	1380291	1381195	+	905	16
P125109_01457	P125109_v1_chr	1381343	1382096	+	754	25
P125109_01458	P125109_v1_chr	1382260	1382556	-	297	13
P125109_01459	P125109_v1_chr	1382736	1384050	-	1315	12
P125109_01460	P125109_v1_chr	1384080	1384371	+	292	1
P125109_01461	P125109_v1_chr	1384193	1384349	+	157	0
P125109_01462	P125109_v1_chr	1384439	1384706	-	268	1
P125109_01463	P125109_v1_chr	1384930	1385586	+	657	7
P125109_01464	P125109_v1_chr	1385757	1386118	-	362	1
P125109_01465	P125109_v1_chr	1386333	1386818	-	486	3
P125109_01466	P125109_v1_chr	1386949	1387618	-	670	25
P125109_01467	P125109_v1_chr	1387684	1388048	-	365	10
P125109_01468	P125109_v1_chr	1388386	1388961	+	576	12
P125109_01469	P125109_v1_chr	1389050	1389097	-	48	1
P125109_01470	P125109_v1_chr	1389193	1389984	-	792	15
P125109_01471	P125109_v1_chr	1390054	1390510	-	457	11
P125109_01472	P125109_v1_chr	1390634	1391087	-	454	22
P125109_01473	P125109_v1_chr	1391195	1391359	-	165	6
P125109_01474	P125109_v1_chr	1391919	1392645	-	727	13
P125109_01475	P125109_v1_chr	1392764	1393838	-	1075	12
P125109_01476	P125109_v1_chr	1393983	1395206	-	1224	11
P125109_01477	P125109_v1_chr	1395369	1396805	-	1437	18
P125109_01478	P125109_v1_chr	1396961	1398367	-	1407	19
P125109_01479	P125109_v1_chr	1398466	1398506	-	41	0
P125109_01480	P125109_v1_chr	1398640	1399422	+	783	15
P125109_01481	P125109_v1_chr	1399517	1400075	+	559	9
P125109_01482	P125109_v1_chr	1400238	1401026	+	789	7
P125109_01483	P125109_v1_chr	1401259	1401790	-	532	2
P125109_01484	P125109_v1_chr	1401863	1402548	-	686	10
P125109_01485	P125109_v1_chr	1402792	1403728	+	937	18
P125109_01486	P125109_v1_chr	1403899	1404125	-	227	5
P125109_01487	P125109_v1_chr	1404528	1406866	+	2339	4
P125109_01488	P125109_v1_chr	1407096	1407233	-	138	3
P125109_01489	P125109_v1_chr	1407536	1408413	+	878	10
P125109_01490	P125109_v1_chr	1408803	1408919	+	117	0
P125109_01491	P125109_v1_chr	1409212	1409295	+	84	0
P125109_01492	P125109_v1_chr	1409487	1411895	+	2409	21
P125109_01493	P125109_v1_chr	1412277	1412808	-	532	1
P125109_01494	P125109_v1_chr	1413004	1413692	+	689	5
P125109_01495	P125109_v1_chr	1413918	1414196	+	279	2
P125109_01496	P125109_v1_chr	1414233	1415285	+	1053	2
P125109_01497	P125109_v1_chr	1415593	1416257	+	665	4
P125109_01498	P125109_v1_chr	1416330	1416624	+	295	6
P125109_01499	P125109_v1_chr	1416797	1416994	-	198	16
P125109_01500	P125109_v1_chr	1417325	1417975	-	651	10
P125109_01501	P125109_v1_chr	1418110	1418271	-	162	11
P125109_01502	P125109_v1_chr	1418591	1420375	-	1785	17
P125109_01503	P125109_v1_chr	1420830	1422571	-	1742	10
P125109_01504	P125109_v1_chr	1422773	1423793	-	1021	16
P125109_01505	P125109_v1_chr	1424071	1424781	-	711	2
P125109_01506	P125109_v1_chr	1424928	1425197	-	270	31
P125109_01507	P125109_v1_chr	1425190	1425351	-	162	0
P125109_01508	P125109_v1_chr	1425386	1426622	+	1237	8
P125109_01509	P125109_v1_chr	1427226	1427863	+	638	7
P125109_01510	P125109_v1_chr	1428029	1428755	-	727	4
P125109_01511	P125109_v1_chr	1428856	1429749	-	894	2
P125109_01512	P125109_v1_chr	1429838	1430639	-	802	0
P125109_01513	P125109_v1_chr	1430722	1431591	-	870	4
P125109_01514	P125109_v1_chr	1431753	1433237	-	1485	10
P125109_01515	P125109_v1_chr	1433447	1434329	-	883	18
P125109_01516	P125109_v1_chr	1434500	1435096	+	597	10
P125109_01517	P125109_v1_chr	1435222	1435424	+	203	2
P125109_01518	P125109_v1_chr	1435446	1435769	+	324	10
P125109_01519	P125109_v1_chr	1435828	1436025	+	198	3
P125109_01520	P125109_v1_chr	1436122	1436405	+	284	15
P125109_01521	P125109_v1_chr	1436585	1437843	+	1259	21
P125109_01522	P125109_v1_chr	1437979	1438934	+	956	20
P125109_01523	P125109_v1_chr	1439188	1440575	+	1388	11
P125109_01524	P125109_v1_chr	1440869	1441325	-	457	14
P125109_01525	P125109_v1_chr	1441441	1442310	+	870	12
P125109_01526	P125109_v1_chr	1442453	1443109	-	657	15
P125109_01527	P125109_v1_chr	1443299	1444751	+	1453	37
P125109_01528	P125109_v1_chr	1445102	1445938	-	837	12
P125109_01529	P125109_v1_chr	1446057	1446872	+	816	12
P125109_01530	P125109_v1_chr	1447271	1448024	+	754	30
P125109_01531	P125109_v1_chr	1448269	1448911	-	643	2
P125109_01532	P125109_v1_chr	1448989	1449520	+	532	9
P125109_01533	P125109_v1_chr	1449708	1449921	+	214	14
P125109_01534	P125109_v1_chr	1450263	1451213	-	951	100
P125109_01535	P125109_v1_chr	1451744	1452510	-	767	9
P125109_01536	P125109_v1_chr	1452897	1453580	+	684	23
P125109_01537	P125109_v1_chr	1453730	1455514	+	1785	44
P125109_01538	P125109_v1_chr	1455739	1456481	+	743	5
P125109_01539	P125109_v1_chr	1456701	1457168	+	468	0
P125109_01540	P125109_v1_chr	1457359	1457664	-	306	5
P125109_01541	P125109_v1_chr	1457760	1458378	-	619	10
P125109_01542	P125109_v1_chr	1458422	1458964	+	543	9
P125109_01543	P125109_v1_chr	1459209	1460137	-	929	34
P125109_01544	P125109_v1_chr	1460376	1460605	+	230	4
P125109_01545	P125109_v1_chr	1460779	1461632	-	854	20
P125109_01546	P125109_v1_chr	1461858	1462535	-	678	6
P125109_01547	P125109_v1_chr	1462694	1462752	-	59	1
P125109_01548	P125109_v1_chr	1462781	1463245	-	465	11
P125109_01549	P125109_v1_chr	1463503	1464010	+	508	23
P125109_01550	P125109_v1_chr	1464477	1465516	+	1040	35
P125109_01551	P125109_v1_chr	1465777	1466662	+	886	18
P125109_01552	P125109_v1_chr	1466856	1466965	+	110	2
P125109_01553	P125109_v1_chr	1467036	1467200	+	165	2
P125109_01554	P125109_v1_chr	1467247	1468483	+	1237	6
P125109_01555	P125109_v1_chr	1468757	1469599	-	843	13
P125109_01556	P125109_v1_chr	1469678	1469923	-	246	3
P125109_01557	P125109_v1_chr	1469977	1470533	-	557	4
P125109_01558	P125109_v1_chr	1470592	1470878	-	287	0
P125109_01559	P125109_v1_chr	1470985	1471184	-	200	2
P125109_01560	P125109_v1_chr	1471622	1472091	+	470	19
P125109_01561	P125109_v1_chr	1472144	1472249	-	106	0
P125109_01562	P125109_v1_chr	1472432	1472558	-	127	0
P125109_01563	P125109_v1_chr	1472837	1473258	-	422	4
P125109_01564	P125109_v1_chr	1473531	1473827	+	297	13
P125109_01565	P125109_v1_chr	1474077	1474576	-	500	10
P125109_01566	P125109_v1_chr	1474666	1475505	-	840	11
P125109_01567	P125109_v1_chr	1475875	1476066	+	192	5
P125109_01568	P125109_v1_chr	1476378	1476531	+	154	2
P125109_01569	P125109_v1_chr	1476611	1477150	+	540	4
P125109_01570	P125109_v1_chr	1477210	1477471	+	262	10
P125109_01571	P125109_v1_chr	1477497	1477980	+	484	2
P125109_01572	P125109_v1_chr	1479532	1479756	+	225	6
P125109_01573	P125109_v1_chr	1480204	1480560	+	357	5
P125109_01574	P125109_v1_chr	1480699	1480952	+	254	2
P125109_01575	P125109_v1_chr	1480977	1481468	+	492	4
P125109_01576	P125109_v1_chr	1481546	1481710	+	165	0
