# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/D7795_v3_2018.ess_90.gff" "-o" "D7795_input_LB.ess.fc.tsv" "D7795_input_LB.ess.bam" 
Geneid	Chr	Start	End	Strand	Length	D7795_input_LB.ess.bam
D7795_01243	D7795_v1_chr	1184214	1184554	-	341	4
D7795_01244	D7795_v1_chr	1184595	1184967	-	373	5
D7795_01245	D7795_v1_chr	1185064	1185968	-	905	17
D7795_01246	D7795_v1_chr	1186019	1186440	-	422	0
D7795_01247	D7795_v1_chr	1186666	1187762	-	1097	15
D7795_01248	D7795_v1_chr	1187803	1188202	-	400	8
D7795_01249	D7795_v1_chr	1188361	1189594	-	1234	9
D7795_01250	D7795_v1_chr	1189664	1190301	-	638	10
D7795_01251	D7795_v1_chr	1190393	1191289	-	897	22
D7795_01252	D7795_v1_chr	1191450	1192964	-	1515	16
D7795_01253	D7795_v1_chr	1193181	1193464	+	284	4
D7795_01254	D7795_v1_chr	1193653	1194001	-	349	15
D7795_01255	D7795_v1_chr	1194289	1194499	-	211	2
D7795_01256	D7795_v1_chr	1194616	1195701	-	1086	11
D7795_01257	D7795_v1_chr	1195887	1196259	+	373	8
D7795_01258	D7795_v1_chr	1196488	1197824	-	1337	25
D7795_01259	D7795_v1_chr	1197932	1198264	-	333	8
D7795_01260	D7795_v1_chr	1198304	1198671	-	368	5
D7795_01261	D7795_v1_chr	1198826	1200092	-	1267	39
D7795_01262	D7795_v1_chr	1200348	1201714	+	1367	105
D7795_01263	D7795_v1_chr	1201944	1203029	+	1086	59
D7795_01264	D7795_v1_chr	1203346	1203993	+	648	13
D7795_01265	D7795_v1_chr	1204124	1204620	+	497	7
D7795_01266	D7795_v1_chr	1204822	1205542	+	721	3
D7795_01267	D7795_v1_chr	1205776	1206664	+	889	10
D7795_01268	D7795_v1_chr	1206783	1207385	+	603	4
D7795_01269	D7795_v1_chr	1207448	1208125	+	678	5
D7795_01270	D7795_v1_chr	1208433	1209083	+	651	35
D7795_01271	D7795_v1_chr	1209244	1209446	-	203	5
D7795_01272	D7795_v1_chr	1209458	1209598	-	141	4
D7795_01273	D7795_v1_chr	1209770	1209840	+	71	0
D7795_01274	D7795_v1_chr	1209910	1210501	+	592	12
D7795_01275	D7795_v1_chr	1210563	1212212	+	1650	34
D7795_01276	D7795_v1_chr	1212452	1212946	+	495	0
D7795_01277	D7795_v1_chr	1213152	1213220	+	69	0
D7795_01278	D7795_v1_chr	1213279	1213345	+	67	0
D7795_01279	D7795_v1_chr	1213364	1213442	+	79	0
D7795_01280	D7795_v1_chr	1213467	1213512	+	46	2
D7795_01281	D7795_v1_chr	1213747	1213938	+	192	1
D7795_01282	D7795_v1_chr	1213831	1214010	+	180	5
D7795_01283	D7795_v1_chr	1214250	1215540	+	1291	66
D7795_01284	D7795_v1_chr	1215896	1216190	+	295	25
D7795_01285	D7795_v1_chr	1216461	1217060	+	600	9
D7795_01286	D7795_v1_chr	1217327	1218469	-	1143	11
D7795_01287	D7795_v1_chr	1218639	1218854	+	216	4
D7795_01288	D7795_v1_chr	1218973	1219421	-	449	26
D7795_01289	D7795_v1_chr	1219694	1219996	-	303	2
D7795_01290	D7795_v1_chr	1220252	1220827	+	576	10
D7795_01291	D7795_v1_chr	1221119	1221572	-	454	12
D7795_01292	D7795_v1_chr	1222122	1222624	+	503	13
D7795_01293	D7795_v1_chr	1223214	1224026	+	813	22
D7795_01294	D7795_v1_chr	1224091	1225370	+	1280	17
D7795_01295	D7795_v1_chr	1225572	1225958	-	387	5
D7795_01296	D7795_v1_chr	1225966	1226071	-	106	0
D7795_01297	D7795_v1_chr	1226754	1227061	+	308	0
D7795_01298	D7795_v1_chr	1227098	1227619	+	522	14
D7795_01299	D7795_v1_chr	1227801	1228600	+	800	5
D7795_01300	D7795_v1_chr	1228685	1229521	+	837	12
D7795_01301	D7795_v1_chr	1229619	1231433	+	1815	17
D7795_01302	D7795_v1_chr	1231655	1232108	+	454	7
D7795_01303	D7795_v1_chr	1232395	1233890	+	1496	16
D7795_01304	D7795_v1_chr	1234210	1234990	+	781	15
D7795_01305	D7795_v1_chr	1235073	1236017	+	945	9
D7795_01306	D7795_v1_chr	1236140	1236490	+	351	0
D7795_01307	D7795_v1_chr	1236537	1237120	+	584	9
D7795_01308	D7795_v1_chr	1237111	1237286	-	176	4
D7795_01309	D7795_v1_chr	1237378	1238414	+	1037	10
D7795_01310	D7795_v1_chr	1238522	1240393	+	1872	30
D7795_01311	D7795_v1_chr	1240600	1240953	+	354	2
D7795_01312	D7795_v1_chr	1241229	1242254	+	1026	12
D7795_01313	D7795_v1_chr	1242609	1244293	-	1685	23
D7795_01314	D7795_v1_chr	1244655	1246215	-	1561	0
D7795_01315	D7795_v1_chr	1246452	1246964	+	513	6
D7795_01316	D7795_v1_chr	1247041	1247713	+	673	8
D7795_01317	D7795_v1_chr	1247560	1247836	+	277	5
D7795_01318	D7795_v1_chr	1248120	1248994	-	875	14
D7795_01319	D7795_v1_chr	1249065	1249734	-	670	9
D7795_01320	D7795_v1_chr	1249814	1250170	-	357	10
D7795_01321	D7795_v1_chr	1250304	1251041	-	738	13
D7795_01322	D7795_v1_chr	1251218	1251604	-	387	12
D7795_01323	D7795_v1_chr	1251929	1253524	+	1596	0
D7795_01324	D7795_v1_chr	1253804	1254211	+	408	5
D7795_01325	D7795_v1_chr	1254286	1254952	+	667	12
D7795_01326	D7795_v1_chr	1255063	1255532	+	470	12
D7795_01327	D7795_v1_chr	1255646	1256185	-	540	25
D7795_01328	D7795_v1_chr	1256394	1257017	+	624	6
D7795_01329	D7795_v1_chr	1257446	1257996	+	551	14
D7795_01330	D7795_v1_chr	1258066	1258975	+	910	2
D7795_01331	D7795_v1_chr	1259233	1259940	-	708	7
D7795_01332	D7795_v1_chr	1260012	1260692	-	681	7
D7795_01333	D7795_v1_chr	1260714	1261615	+	902	4
D7795_01334	D7795_v1_chr	1261731	1262918	+	1188	24
D7795_01335	D7795_v1_chr	1263167	1264041	+	875	0
D7795_01336	D7795_v1_chr	1264355	1265653	-	1299	6
D7795_01337	D7795_v1_chr	1265864	1266646	-	783	12
D7795_01338	D7795_v1_chr	1266988	1268316	+	1329	22
D7795_01339	D7795_v1_chr	1268454	1268557	+	104	0
D7795_01340	D7795_v1_chr	1268698	1270328	+	1631	14
D7795_01341	D7795_v1_chr	1270547	1271124	+	578	11
D7795_01342	D7795_v1_chr	1271405	1272466	-	1062	21
D7795_01343	D7795_v1_chr	1272597	1272858	+	262	5
D7795_01344	D7795_v1_chr	1272955	1273273	+	319	3
D7795_01345	D7795_v1_chr	1273402	1273995	+	594	8
D7795_01346	D7795_v1_chr	1274161	1274243	-	83	0
D7795_01347	D7795_v1_chr	1274274	1276120	+	1847	31
D7795_01348	D7795_v1_chr	1276431	1277060	-	630	10
D7795_01349	D7795_v1_chr	1277149	1277740	-	592	17
D7795_01350	D7795_v1_chr	1277871	1278078	-	208	2
D7795_01351	D7795_v1_chr	1278216	1278553	+	338	9
D7795_01352	D7795_v1_chr	1278591	1279379	+	789	4
D7795_01353	D7795_v1_chr	1279483	1279801	+	319	4
D7795_01354	D7795_v1_chr	1279878	1280157	-	280	0
D7795_01355	D7795_v1_chr	1279977	1280069	+	93	0
D7795_01356	D7795_v1_chr	1280327	1281298	-	972	24
D7795_01357	D7795_v1_chr	1281300	1281551	-	252	6
D7795_01358	D7795_v1_chr	1281965	1283746	+	1782	44
D7795_01359	D7795_v1_chr	1283965	1284178	+	214	0
D7795_01360	D7795_v1_chr	1284239	1284349	+	111	2
D7795_01361	D7795_v1_chr	1284576	1284851	+	276	2
D7795_01362	D7795_v1_chr	1284945	1285484	+	540	4
D7795_01363	D7795_v1_chr	1285541	1285746	+	206	5
D7795_01364	D7795_v1_chr	1285898	1286518	+	621	5
D7795_01365	D7795_v1_chr	1286684	1287156	+	473	42
D7795_01366	D7795_v1_chr	1287442	1287571	+	130	4
D7795_01367	D7795_v1_chr	1287627	1288031	-	405	25
D7795_01368	D7795_v1_chr	1288248	1288372	+	125	22
D7795_01369	D7795_v1_chr	1288439	1288865	-	427	55
D7795_01370	D7795_v1_chr	1289339	1289649	+	311	15
D7795_01371	D7795_v1_chr	1289667	1290074	+	408	11
D7795_01372	D7795_v1_chr	1290116	1290566	+	451	5
D7795_01373	D7795_v1_chr	1290773	1291102	+	330	2
D7795_01374	D7795_v1_chr	1291564	1292044	-	481	15
D7795_01375	D7795_v1_chr	1292134	1292760	+	627	24
D7795_01376	D7795_v1_chr	1292839	1293092	+	254	12
D7795_01377	D7795_v1_chr	1293114	1295238	+	2125	64
D7795_01378	D7795_v1_chr	1295617	1296262	+	646	12
D7795_01379	D7795_v1_chr	1296455	1296660	+	206	7
D7795_01380	D7795_v1_chr	1296956	1297606	-	651	27
D7795_01381	D7795_v1_chr	1297813	1297956	+	144	2
D7795_01382	D7795_v1_chr	1298114	1298367	-	254	0
D7795_01383	D7795_v1_chr	1299848	1300090	-	243	15
D7795_01384	D7795_v1_chr	1300162	1300674	-	513	33
D7795_01385	D7795_v1_chr	1300799	1301387	-	589	2
D7795_01386	D7795_v1_chr	1301418	1301625	+	208	0
D7795_01387	D7795_v1_chr	1301702	1302182	+	481	12
D7795_01388	D7795_v1_chr	1302508	1302659	-	152	12
D7795_01389	D7795_v1_chr	1302967	1303409	+	443	6
D7795_01390	D7795_v1_chr	1303445	1303606	+	162	1
D7795_01391	D7795_v1_chr	1303644	1303981	+	338	2
D7795_01392	D7795_v1_chr	1304011	1304548	+	538	4
D7795_01393	D7795_v1_chr	1304928	1305546	+	619	24
D7795_01394	D7795_v1_chr	1305563	1306013	+	451	26
D7795_01395	D7795_v1_chr	1306180	1306360	-	181	3
D7795_01396	D7795_v1_chr	1306828	1306938	-	111	5
D7795_01397	D7795_v1_chr	1307311	1307424	+	114	18
D7795_01398	D7795_v1_chr	1307618	1307728	+	111	20
D7795_01399	D7795_v1_chr	1307716	1307845	+	130	1
D7795_01400	D7795_v1_chr	1308250	1308803	-	554	30
D7795_01401	D7795_v1_chr	1308828	1308971	-	144	3
D7795_01402	D7795_v1_chr	1309195	1310018	-	824	19
D7795_01403	D7795_v1_chr	1311036	1311260	-	225	0
D7795_01404	D7795_v1_chr	1311502	1311680	-	179	9
D7795_01405	D7795_v1_chr	1311804	1312848	+	1045	11
D7795_01406	D7795_v1_chr	1313072	1313320	-	249	12
D7795_01407	D7795_v1_chr	1313341	1313467	+	127	12
D7795_01408	D7795_v1_chr	1313490	1313732	-	243	2
D7795_01409	D7795_v1_chr	1314105	1314482	+	378	11
D7795_01410	D7795_v1_chr	1314692	1314808	-	117	7
D7795_01411	D7795_v1_chr	1314944	1315373	-	430	26
D7795_01412	D7795_v1_chr	1315522	1315675	-	154	17
D7795_01413	D7795_v1_chr	1315742	1316098	-	357	0
D7795_01414	D7795_v1_chr	1316782	1317432	+	651	18
D7795_01415	D7795_v1_chr	1317789	1317937	+	149	12
D7795_01416	D7795_v1_chr	1317926	1318136	+	211	12
D7795_01417	D7795_v1_chr	1318177	1318762	+	586	12
D7795_01418	D7795_v1_chr	1318865	1319037	-	173	2
D7795_01419	D7795_v1_chr	1319172	1319387	-	216	0
D7795_01420	D7795_v1_chr	1319656	1321043	-	1388	20
D7795_01421	D7795_v1_chr	1321282	1323652	-	2371	25
D7795_01422	D7795_v1_chr	1323749	1324904	-	1156	20
D7795_01423	D7795_v1_chr	1324961	1325473	+	513	5
D7795_01424	D7795_v1_chr	1325628	1326246	+	619	7
D7795_01425	D7795_v1_chr	1326334	1328178	+	1845	27
D7795_01426	D7795_v1_chr	1328576	1329369	+	794	5
D7795_01427	D7795_v1_chr	1329642	1330878	-	1237	11
D7795_01428	D7795_v1_chr	1330943	1331040	+	98	0
D7795_01429	D7795_v1_chr	1331054	1331766	+	713	16
D7795_01430	D7795_v1_chr	1332081	1332296	-	216	23
D7795_01431	D7795_v1_chr	1332454	1332583	+	130	6
D7795_01432	D7795_v1_chr	1332668	1332927	+	260	4
D7795_01433	D7795_v1_chr	1332967	1333045	-	79	6
D7795_01434	D7795_v1_chr	1333442	1333525	+	84	3
D7795_01435	D7795_v1_chr	1333604	1333733	+	130	1
D7795_01436	D7795_v1_chr	1333760	1333948	+	189	4
D7795_01437	D7795_v1_chr	1334189	1335760	+	1572	22
D7795_01438	D7795_v1_chr	1336000	1336728	+	729	9
D7795_01439	D7795_v1_chr	1336862	1337372	-	511	6
D7795_01440	D7795_v1_chr	1337827	1338240	-	414	11
D7795_01441	D7795_v1_chr	1338384	1339150	-	767	5
D7795_01442	D7795_v1_chr	1339243	1339963	-	721	4
D7795_01443	D7795_v1_chr	1340112	1340984	-	873	3
D7795_01444	D7795_v1_chr	1341134	1341436	+	303	2
D7795_01445	D7795_v1_chr	1341457	1342860	+	1404	6
D7795_01446	D7795_v1_chr	1343198	1344639	-	1442	14
D7795_01447	D7795_v1_chr	1344913	1346141	-	1229	30
D7795_01448	D7795_v1_chr	1346462	1346983	-	522	3
D7795_01449	D7795_v1_chr	1347123	1348351	-	1229	24
D7795_01450	D7795_v1_chr	1348432	1348593	+	162	3
D7795_01451	D7795_v1_chr	1348651	1348961	-	311	7
D7795_01452	D7795_v1_chr	1349092	1350811	+	1720	27
D7795_01453	D7795_v1_chr	1351060	1351686	+	627	1
D7795_01454	D7795_v1_chr	1351827	1352350	+	524	6
D7795_01455	D7795_v1_chr	1352547	1354123	+	1577	26
D7795_01456	D7795_v1_chr	1354383	1355387	+	1005	17
D7795_01457	D7795_v1_chr	1355646	1355886	-	241	2
D7795_01458	D7795_v1_chr	1355971	1356702	-	732	9
D7795_01459	D7795_v1_chr	1356796	1357433	-	638	10
D7795_01460	D7795_v1_chr	1357559	1357823	+	265	5
D7795_01461	D7795_v1_chr	1357902	1358495	+	594	8
D7795_01462	D7795_v1_chr	1358654	1359056	+	403	6
D7795_01463	D7795_v1_chr	1359452	1359576	+	125	2
D7795_01464	D7795_v1_chr	1359625	1359705	-	81	1
D7795_01465	D7795_v1_chr	1359781	1359937	+	157	1
D7795_01466	D7795_v1_chr	1360060	1360367	-	308	3
D7795_01467	D7795_v1_chr	1360529	1361006	-	478	1
D7795_01468	D7795_v1_chr	1361302	1362692	-	1391	22
D7795_01469	D7795_v1_chr	1362912	1363559	+	648	7
D7795_01470	D7795_v1_chr	1363831	1365210	-	1380	15
D7795_01471	D7795_v1_chr	1365533	1366702	+	1170	9
D7795_01472	D7795_v1_chr	1366845	1367808	+	964	10
D7795_01473	D7795_v1_chr	1368151	1369711	-	1561	21
D7795_01474	D7795_v1_chr	1369899	1370722	-	824	8
D7795_01475	D7795_v1_chr	1370893	1371443	+	551	3
D7795_01476	D7795_v1_chr	1371591	1372252	-	662	22
D7795_01477	D7795_v1_chr	1372421	1372650	+	230	12
D7795_01478	D7795_v1_chr	1372909	1374450	-	1542	22
D7795_01479	D7795_v1_chr	1374791	1375938	-	1148	14
D7795_01480	D7795_v1_chr	1375973	1376293	+	321	2
D7795_01481	D7795_v1_chr	1376342	1376422	-	81	5
D7795_01482	D7795_v1_chr	1376548	1377571	-	1024	13
D7795_01483	D7795_v1_chr	1377737	1379127	-	1391	15
D7795_01484	D7795_v1_chr	1379286	1380050	-	765	3
D7795_01485	D7795_v1_chr	1380092	1380502	-	411	4
D7795_01486	D7795_v1_chr	1380500	1381037	-	538	8
D7795_01487	D7795_v1_chr	1381107	1381765	-	659	6
D7795_01488	D7795_v1_chr	1381963	1383577	-	1615	17
D7795_01489	D7795_v1_chr	1383685	1384692	-	1008	7
D7795_01490	D7795_v1_chr	1385652	1386059	-	408	4
D7795_01491	D7795_v1_chr	1386160	1386718	-	559	0
D7795_01492	D7795_v1_chr	1387586	1388568	-	983	8
D7795_01493	D7795_v1_chr	1388743	1389269	-	527	0
D7795_01494	D7795_v1_chr	1389545	1389796	+	252	2
D7795_01495	D7795_v1_chr	1390033	1391526	-	1494	19
D7795_01496	D7795_v1_chr	1391772	1392625	-	854	0
D7795_01497	D7795_v1_chr	1392976	1393742	-	767	1
D7795_01498	D7795_v1_chr	1393801	1394362	-	562	1
D7795_01499	D7795_v1_chr	1394676	1395807	+	1132	0
D7795_01500	D7795_v1_chr	1395973	1396947	+	975	0
D7795_01501	D7795_v1_chr	1397055	1397805	+	751	6
D7795_01502	D7795_v1_chr	1397885	1398235	+	351	0
D7795_01503	D7795_v1_chr	1398278	1399006	+	729	8
D7795_01504	D7795_v1_chr	1399125	1399894	+	770	0
D7795_01505	D7795_v1_chr	1400143	1401133	-	991	33
D7795_01506	D7795_v1_chr	1401400	1401607	+	208	5
D7795_01507	D7795_v1_chr	1401745	1402063	-	319	5
D7795_01508	D7795_v1_chr	1402239	1402306	-	68	0
D7795_01509	D7795_v1_chr	1402240	1403522	+	1283	11
D7795_01510	D7795_v1_chr	1403730	1404315	-	586	9
D7795_01511	D7795_v1_chr	1404487	1406104	-	1618	30
D7795_01512	D7795_v1_chr	1406445	1407703	+	1259	21
D7795_01513	D7795_v1_chr	1407825	1407880	+	56	1
D7795_01514	D7795_v1_chr	1408230	1411599	+	3370	32
D7795_01515	D7795_v1_chr	1411970	1413355	+	1386	10
D7795_01516	D7795_v1_chr	1413505	1414144	+	640	9
D7795_01517	D7795_v1_chr	1414215	1414825	+	611	5
D7795_01518	D7795_v1_chr	1414934	1415121	-	188	0
D7795_01519	D7795_v1_chr	1415134	1416510	+	1377	16
D7795_01520	D7795_v1_chr	1417298	1417374	-	77	0
D7795_01521	D7795_v1_chr	1417593	1417669	-	77	1
D7795_01522	D7795_v1_chr	1418094	1418852	-	759	9
D7795_01523	D7795_v1_chr	1418948	1419361	-	414	9
D7795_01524	D7795_v1_chr	1419481	1420288	+	808	9
D7795_01525	D7795_v1_chr	1420468	1421380	+	913	0
D7795_01526	D7795_v1_chr	1421684	1422502	+	819	8
D7795_01527	D7795_v1_chr	1422765	1423137	-	373	0
D7795_01528	D7795_v1_chr	1423800	1424356	+	557	22
D7795_01529	D7795_v1_chr	1424881	1427292	-	2412	31
D7795_01530	D7795_v1_chr	1427769	1428352	+	584	6
D7795_01531	D7795_v1_chr	1428454	1428525	-	72	2
D7795_01532	D7795_v1_chr	1428829	1429109	-	281	3
D7795_01533	D7795_v1_chr	1429180	1430648	+	1469	40
D7795_01534	D7795_v1_chr	1430933	1431761	+	829	12
D7795_01535	D7795_v1_chr	1431868	1432686	+	819	7
D7795_01536	D7795_v1_chr	1432788	1433695	+	908	4
D7795_01537	D7795_v1_chr	1433792	1434696	+	905	12
D7795_01538	D7795_v1_chr	1434844	1435597	+	754	15
D7795_01539	D7795_v1_chr	1435761	1436057	-	297	6
D7795_01540	D7795_v1_chr	1436237	1437551	-	1315	16
D7795_01541	D7795_v1_chr	1437581	1437872	+	292	6
D7795_01542	D7795_v1_chr	1437694	1437850	+	157	0
D7795_01543	D7795_v1_chr	1437940	1438207	-	268	2
D7795_01544	D7795_v1_chr	1438431	1439087	+	657	1
D7795_01545	D7795_v1_chr	1439258	1439619	-	362	2
D7795_01546	D7795_v1_chr	1439834	1440319	-	486	6
D7795_01547	D7795_v1_chr	1440450	1441119	-	670	12
D7795_01548	D7795_v1_chr	1441185	1441549	-	365	5
D7795_01549	D7795_v1_chr	1441887	1442462	+	576	5
D7795_01550	D7795_v1_chr	1442551	1442598	-	48	2
D7795_01551	D7795_v1_chr	1442694	1443485	-	792	13
D7795_01552	D7795_v1_chr	1443555	1444011	-	457	8
D7795_01553	D7795_v1_chr	1444135	1444588	-	454	17
D7795_01554	D7795_v1_chr	1444696	1444860	-	165	4
D7795_01555	D7795_v1_chr	1445420	1446146	-	727	14
D7795_01556	D7795_v1_chr	1446265	1447339	-	1075	7
D7795_01557	D7795_v1_chr	1447484	1448707	-	1224	4
D7795_01558	D7795_v1_chr	1448870	1450306	-	1437	16
D7795_01559	D7795_v1_chr	1450462	1451868	-	1407	9
D7795_01560	D7795_v1_chr	1451967	1452007	-	41	0
D7795_01561	D7795_v1_chr	1452141	1452923	+	783	9
D7795_01562	D7795_v1_chr	1453018	1453576	+	559	6
D7795_01563	D7795_v1_chr	1453739	1454527	+	789	5
D7795_01564	D7795_v1_chr	1454760	1455291	-	532	5
D7795_01565	D7795_v1_chr	1455364	1456049	-	686	6
D7795_01566	D7795_v1_chr	1456293	1457229	+	937	11
D7795_01567	D7795_v1_chr	1457400	1457626	-	227	0
D7795_01568	D7795_v1_chr	1458029	1460367	+	2339	0
D7795_01569	D7795_v1_chr	1460597	1460734	-	138	2
D7795_01570	D7795_v1_chr	1461037	1461914	+	878	15
D7795_01571	D7795_v1_chr	1462304	1462420	+	117	0
D7795_01572	D7795_v1_chr	1462713	1462796	+	84	2
D7795_01573	D7795_v1_chr	1462988	1465396	+	2409	13
D7795_01574	D7795_v1_chr	1465778	1466309	-	532	1
D7795_01575	D7795_v1_chr	1466505	1467193	+	689	2
D7795_01576	D7795_v1_chr	1467419	1467697	+	279	0
D7795_01577	D7795_v1_chr	1467734	1468786	+	1053	0
D7795_01578	D7795_v1_chr	1469094	1469758	+	665	2
D7795_01579	D7795_v1_chr	1469831	1470125	+	295	6
D7795_01580	D7795_v1_chr	1470298	1470495	-	198	19
D7795_01581	D7795_v1_chr	1470826	1471476	-	651	5
D7795_01582	D7795_v1_chr	1471611	1471772	-	162	0
D7795_01583	D7795_v1_chr	1472092	1473876	-	1785	14
D7795_01584	D7795_v1_chr	1474331	1476072	-	1742	9
D7795_01585	D7795_v1_chr	1476274	1477294	-	1021	3
D7795_01586	D7795_v1_chr	1477572	1478282	-	711	0
D7795_01587	D7795_v1_chr	1478429	1478698	-	270	18
D7795_01588	D7795_v1_chr	1478691	1478852	-	162	1
D7795_01589	D7795_v1_chr	1478887	1480123	+	1237	7
D7795_01590	D7795_v1_chr	1480727	1481364	+	638	2
D7795_01591	D7795_v1_chr	1481530	1482256	-	727	0
D7795_01592	D7795_v1_chr	1482357	1483250	-	894	4
D7795_01593	D7795_v1_chr	1483339	1484140	-	802	3
D7795_01594	D7795_v1_chr	1484223	1485092	-	870	5
D7795_01595	D7795_v1_chr	1485254	1486738	-	1485	10
D7795_01596	D7795_v1_chr	1486948	1487830	-	883	5
D7795_01597	D7795_v1_chr	1488001	1488603	+	603	3
D7795_01598	D7795_v1_chr	1488729	1488931	+	203	2
D7795_01599	D7795_v1_chr	1488953	1489276	+	324	2
D7795_01600	D7795_v1_chr	1489335	1489532	+	198	0
D7795_01601	D7795_v1_chr	1489629	1489912	+	284	13
D7795_01602	D7795_v1_chr	1490092	1491350	+	1259	8
D7795_01603	D7795_v1_chr	1491486	1492441	+	956	2
D7795_01604	D7795_v1_chr	1492695	1494082	+	1388	4
D7795_01605	D7795_v1_chr	1494376	1494832	-	457	4
D7795_01606	D7795_v1_chr	1494948	1495817	+	870	3
D7795_01607	D7795_v1_chr	1495960	1496616	-	657	12
D7795_01608	D7795_v1_chr	1496806	1498258	+	1453	16
D7795_01609	D7795_v1_chr	1498609	1499445	-	837	6
D7795_01610	D7795_v1_chr	1499564	1500379	+	816	7
D7795_01611	D7795_v1_chr	1500778	1501531	+	754	25
D7795_01612	D7795_v1_chr	1501776	1502418	-	643	0
D7795_01613	D7795_v1_chr	1502496	1503027	+	532	0
D7795_01614	D7795_v1_chr	1503215	1503428	+	214	4
D7795_01615	D7795_v1_chr	1503770	1504720	-	951	74
D7795_01616	D7795_v1_chr	1505251	1506017	-	767	8
D7795_01617	D7795_v1_chr	1506404	1507087	+	684	31
D7795_01618	D7795_v1_chr	1507237	1509021	+	1785	45
D7795_01619	D7795_v1_chr	1509246	1509988	+	743	8
D7795_01620	D7795_v1_chr	1510208	1510675	+	468	9
D7795_01621	D7795_v1_chr	1510866	1511171	-	306	9
D7795_01622	D7795_v1_chr	1511267	1511885	-	619	2
D7795_01623	D7795_v1_chr	1512032	1512482	+	451	10
D7795_01624	D7795_v1_chr	1512717	1513645	-	929	23
D7795_01625	D7795_v1_chr	1513884	1514113	+	230	5
D7795_01626	D7795_v1_chr	1514287	1515140	-	854	10
D7795_01627	D7795_v1_chr	1515366	1516043	-	678	8
D7795_01628	D7795_v1_chr	1516202	1516261	-	60	2
D7795_01629	D7795_v1_chr	1516290	1516754	-	465	7
D7795_01630	D7795_v1_chr	1517012	1517519	+	508	15
D7795_01631	D7795_v1_chr	1517986	1519025	+	1040	20
D7795_01632	D7795_v1_chr	1519286	1520171	+	886	8
D7795_01633	D7795_v1_chr	1520365	1520474	+	110	0
D7795_01634	D7795_v1_chr	1520545	1520709	+	165	4
D7795_01635	D7795_v1_chr	1520756	1521992	+	1237	11
D7795_01636	D7795_v1_chr	1522266	1523108	-	843	8
D7795_01637	D7795_v1_chr	1523187	1523432	-	246	9
D7795_01638	D7795_v1_chr	1523486	1524042	-	557	7
D7795_01639	D7795_v1_chr	1524101	1524387	-	287	2
D7795_01640	D7795_v1_chr	1524494	1524693	-	200	1
D7795_01641	D7795_v1_chr	1525131	1525600	+	470	24
D7795_01642	D7795_v1_chr	1525653	1525758	-	106	0
D7795_01643	D7795_v1_chr	1525941	1526067	-	127	3
D7795_01644	D7795_v1_chr	1526347	1526768	-	422	0
D7795_01645	D7795_v1_chr	1527041	1527337	+	297	10
D7795_01646	D7795_v1_chr	1527587	1528086	-	500	7
D7795_01647	D7795_v1_chr	1528176	1529015	-	840	6
D7795_01648	D7795_v1_chr	1529385	1529576	+	192	3
D7795_01649	D7795_v1_chr	1529888	1530041	+	154	0
D7795_01650	D7795_v1_chr	1530121	1530660	+	540	9
D7795_01651	D7795_v1_chr	1530720	1530981	+	262	9
D7795_01652	D7795_v1_chr	1531007	1531490	+	484	4
D7795_01653	D7795_v1_chr	1533042	1533266	+	225	8
D7795_01654	D7795_v1_chr	1533714	1534110	+	397	6
D7795_01655	D7795_v1_chr	1534100	1534459	+	360	0
D7795_01656	D7795_v1_chr	1534495	1535051	+	557	6
D7795_01657	D7795_v1_chr	1535135	1535461	+	327	0
D7795_01658	D7795_v1_chr	1535521	1536854	+	1334	16
D7795_01659	D7795_v1_chr	1537011	1537518	+	508	4
D7795_01660	D7795_v1_chr	1537799	1538403	+	605	31
D7795_01661	D7795_v1_chr	1538467	1539463	+	997	0
D7795_01662	D7795_v1_chr	1540022	1540205	-	184	2
D7795_01663	D7795_v1_chr	1540306	1540611	+	306	8
D7795_01664	D7795_v1_chr	1540737	1541128	-	392	16
D7795_01665	D7795_v1_chr	1541473	1541571	+	99	5
D7795_01666	D7795_v1_chr	1541962	1545134	-	3173	24
D7795_01667	D7795_v1_chr	1545225	1545494	-	270	0
D7795_01668	D7795_v1_chr	1545410	1545650	+	241	0
D7795_01669	D7795_v1_chr	1545761	1546130	-	370	2
D7795_01670	D7795_v1_chr	1546340	1547230	-	891	10
D7795_01671	D7795_v1_chr	1547470	1549843	+	2374	20
D7795_01672	D7795_v1_chr	1550106	1550278	+	173	0
D7795_01673	D7795_v1_chr	1550305	1550596	+	292	6
D7795_01674	D7795_v1_chr	1550771	1551175	+	405	5
D7795_01675	D7795_v1_chr	1551277	1551822	-	546	5
D7795_01676	D7795_v1_chr	1552005	1555533	+	3529	8
D7795_01677	D7795_v1_chr	1555989	1556709	+	721	3
D7795_01678	D7795_v1_chr	1556906	1557383	+	478	10
D7795_01679	D7795_v1_chr	1557527	1557586	-	60	0
D7795_01680	D7795_v1_chr	1557773	1558369	-	597	16
D7795_01681	D7795_v1_chr	1558737	1558823	+	87	4
D7795_01682	D7795_v1_chr	1558988	1560383	-	1396	33
D7795_01683	D7795_v1_chr	1560588	1561200	-	613	12
D7795_01684	D7795_v1_chr	1561270	1561928	-	659	17
D7795_01685	D7795_v1_chr	1562016	1562585	-	570	0
