# Program:featureCounts v1.6.4; Command:"featureCounts" "-M" "--fraction" "-t" "gene" "-g" "ID" "-s" "0" "-a" "/pub37/alexp/data/TRADIS/v2_WY_macro/P125109_v3_2018.tradis.gff" "-o" "P125109_output_MAC_1.deseq.fc.tsv" "P125109_output_MAC_1.deseq.bam" 
Geneid	Chr	Start	End	Strand	Length	P125109_output_MAC_1.deseq.bam
P125109_00947	P125109_v1_chr	924037	925470	-	1434	387
P125109_00948	P125109_v1_chr	925481	926482	-	1002	694
P125109_00949	P125109_v1_chr	926521	928239	-	1719	768
P125109_00950	P125109_v1_chr	928397	929365	-	969	630
P125109_00951	P125109_v1_chr	929377	931029	-	1653	473
P125109_00952	P125109_v1_chr	931173	932072	-	900	1523
P125109_00953	P125109_v1_chr	932274	933932	+	1659	1449
P125109_00954	P125109_v1_chr	933929	934879	-	951	4716
P125109_00955	P125109_v1_chr	934848	934931	+	84	60
P125109_00956	P125109_v1_chr	935025	936143	+	1119	802
P125109_00957	P125109_v1_chr	936140	938086	+	1947	813
P125109_00958	P125109_v1_chr	938216	938437	-	222	42
P125109_00959	P125109_v1_chr	938588	938665	+	78	0
P125109_00960	P125109_v1_chr	938693	938758	+	66	10
P125109_00961	P125109_v1_chr	938761	939081	+	321	114
P125109_00962	P125109_v1_chr	939112	941388	+	2277	804
P125109_00963	P125109_v1_chr	941601	941798	-	198	83
P125109_00964	P125109_v1_chr	941960	942337	-	378	203
P125109_00965	P125109_v1_chr	942768	942855	-	88	75
P125109_00966	P125109_v1_chr	943004	943681	-	678	358
P125109_00967	P125109_v1_chr	943701	944561	-	861	519
P125109_00968	P125109_v1_chr	944670	945581	+	912	515
P125109_00969	P125109_v1_chr	945672	945890	-	219	4
P125109_00970	P125109_v1_chr	945818	946147	-	330	54
P125109_00971	P125109_v1_chr	946202	946906	-	705	116
P125109_00972	P125109_v1_chr	946951	948672	-	1722	11
P125109_00973	P125109_v1_chr	948673	950439	-	1767	24
P125109_00974	P125109_v1_chr	950553	951521	-	969	59
P125109_00975	P125109_v1_chr	951901	951966	+	66	11
P125109_00976	P125109_v1_chr	952067	952561	+	495	306
P125109_00977	P125109_v1_chr	952696	956817	+	4122	13
P125109_00978	P125109_v1_chr	956960	957571	+	612	2
P125109_00979	P125109_v1_chr	957581	958924	+	1344	807
P125109_00980	P125109_v1_chr	959183	960475	+	1293	1
P125109_00981	P125109_v1_chr	960712	963156	+	2445	1083
P125109_00982	P125109_v1_chr	963167	963784	+	618	405
P125109_00983	P125109_v1_chr	963786	964649	+	864	1026
P125109_00984	P125109_v1_chr	964999	966147	+	1149	197
P125109_00985	P125109_v1_chr	966365	967786	+	1422	774
P125109_00986	P125109_v1_chr	968023	968203	-	181	76
P125109_00987	P125109_v1_chr	968079	968876	-	798	791
P125109_00988	P125109_v1_chr	968995	969162	-	168	85
P125109_00989	P125109_v1_chr	969452	970411	+	960	244
P125109_00990	P125109_v1_chr	970487	972769	-	2283	1413
P125109_00991	P125109_v1_chr	972829	973686	-	858	1146
P125109_00992	P125109_v1_chr	974091	975926	-	1836	2559
P125109_00993	P125109_v1_chr	975988	976680	+	693	111
P125109_00994	P125109_v1_chr	976866	977954	+	1089	3
P125109_00995	P125109_v1_chr	978025	979308	+	1284	183
P125109_00996	P125109_v1_chr	979451	980212	+	762	885
P125109_00997	P125109_v1_chr	980385	981068	+	684	1
P125109_00998	P125109_v1_chr	981182	982855	+	1674	9
P125109_00999	P125109_v1_chr	983011	983295	+	285	1
P125109_01000	P125109_v1_chr	983317	983415	-	99	0
P125109_01001	P125109_v1_chr	983525	985789	+	2265	1519
P125109_01002	P125109_v1_chr	985826	987574	+	1749	4
P125109_01003	P125109_v1_chr	987571	988548	+	978	53
P125109_01004	P125109_v1_chr	988592	989824	+	1233	855
P125109_01005	P125109_v1_chr	989876	990058	+	183	1
P125109_01006	P125109_v1_chr	990055	990801	+	747	2
P125109_01007	P125109_v1_chr	991012	991905	+	894	280
P125109_01008	P125109_v1_chr	991885	992661	-	777	529
P125109_01009	P125109_v1_chr	992797	993600	+	804	500
P125109_01010	P125109_v1_chr	993593	994915	+	1323	2
P125109_01011	P125109_v1_chr	994896	995600	+	705	2
P125109_01012	P125109_v1_chr	995600	1000066	+	4467	48
P125109_01013	P125109_v1_chr	1000411	1002261	+	1851	964
P125109_01014	P125109_v1_chr	1002521	1003069	+	549	184
P125109_01015	P125109_v1_chr	1003097	1003744	+	648	211
P125109_01016	P125109_v1_chr	1003806	1004996	-	1191	95
P125109_01017	P125109_v1_chr	1005181	1006272	-	1092	968
P125109_01018	P125109_v1_chr	1006756	1006848	+	93	0
P125109_01019	P125109_v1_chr	1006866	1008266	-	1401	4
P125109_01020	P125109_v1_chr	1008467	1008928	-	462	417
P125109_01021	P125109_v1_chr	1009246	1010460	+	1215	879
P125109_01022	P125109_v1_chr	1010706	1012142	+	1437	256
P125109_01023	P125109_v1_chr	1012220	1013422	-	1203	396
P125109_01024	P125109_v1_chr	1013617	1014027	-	411	162
P125109_01025	P125109_v1_chr	1014048	1014677	+	630	591
P125109_01026	P125109_v1_chr	1014661	1015287	+	627	151
P125109_01027	P125109_v1_chr	1015284	1016993	+	1710	3026
P125109_01028	P125109_v1_chr	1016993	1017574	+	582	1082
P125109_01029	P125109_v1_chr	1017578	1017793	-	216	375
P125109_01030	P125109_v1_chr	1018052	1019020	+	969	925
P125109_01031	P125109_v1_chr	1019118	1019536	+	419	362
P125109_01032	P125109_v1_chr	1019668	1020294	-	627	721
P125109_01033	P125109_v1_chr	1020363	1020657	-	295	137
P125109_01034	P125109_v1_chr	1020654	1021340	-	687	400
P125109_01035	P125109_v1_chr	1021611	1021865	-	255	142
P125109_01036	P125109_v1_chr	1022229	1024841	+	2613	1664
P125109_01037	P125109_v1_chr	1025049	1026059	+	1011	72
P125109_01038	P125109_v1_chr	1026225	1026767	+	543	363
P125109_01039	P125109_v1_chr	1026764	1027873	-	1110	447
P125109_01040	P125109_v1_chr	1027972	1030080	+	2109	1015
P125109_01041	P125109_v1_chr	1030093	1032000	+	1908	1060
P125109_01042	P125109_v1_chr	1032015	1033268	+	1254	498
P125109_01043	P125109_v1_chr	1033273	1034913	+	1641	603
P125109_01044	P125109_v1_chr	1034910	1035473	+	564	257
P125109_01045	P125109_v1_chr	1035497	1035581	-	85	0
P125109_01046	P125109_v1_chr	1035729	1035896	+	168	71
P125109_01047	P125109_v1_chr	1035996	1036514	-	519	0
P125109_01048	P125109_v1_chr	1036583	1038343	-	1761	560
P125109_01049	P125109_v1_chr	1038529	1038981	+	453	109
P125109_01050	P125109_v1_chr	1039053	1040105	-	1053	22
P125109_01051	P125109_v1_chr	1040462	1040971	-	510	557
P125109_01052	P125109_v1_chr	1041188	1041793	+	606	526
P125109_01053	P125109_v1_chr	1041780	1043933	-	2154	1375
P125109_01054	P125109_v1_chr	1043952	1044398	-	447	495
P125109_01055	P125109_v1_chr	1044522	1046576	+	2055	1220
P125109_01056	P125109_v1_chr	1046612	1047070	-	459	102
P125109_01057	P125109_v1_chr	1047165	1047827	-	663	480
P125109_01058	P125109_v1_chr	1048001	1048414	+	414	453
P125109_01059	P125109_v1_chr	1048459	1048776	-	318	475
P125109_01060	P125109_v1_chr	1048834	1050045	-	1212	336
P125109_01061	P125109_v1_chr	1050260	1050808	+	549	178
P125109_01062	P125109_v1_chr	1050825	1051613	+	789	713
P125109_01063	P125109_v1_chr	1051662	1051943	+	282	32
P125109_01064	P125109_v1_chr	1051940	1052269	-	330	1
P125109_01065	P125109_v1_chr	1052356	1053015	-	660	572
P125109_01066	P125109_v1_chr	1053410	1053497	+	88	0
P125109_01067	P125109_v1_chr	1053634	1054314	-	681	1003
P125109_01068	P125109_v1_chr	1054534	1055409	-	876	16
P125109_01069	P125109_v1_chr	1055627	1055947	+	321	0
P125109_01070	P125109_v1_chr	1055957	1056298	-	342	153
P125109_01071	P125109_v1_chr	1056315	1058000	-	1686	1603
P125109_01072	P125109_v1_chr	1058332	1058502	+	171	454
P125109_01073	P125109_v1_chr	1058503	1058613	-	111	104
P125109_01074	P125109_v1_chr	1058534	1058719	+	186	33
P125109_01075	P125109_v1_chr	1058722	1060284	-	1563	2785
P125109_01076	P125109_v1_chr	1060364	1061728	-	1365	1684
P125109_01077	P125109_v1_chr	1061721	1062458	-	738	690
P125109_01078	P125109_v1_chr	1062537	1062947	+	411	817
P125109_01079	P125109_v1_chr	1063280	1063792	-	513	273
P125109_01080	P125109_v1_chr	1063810	1065372	-	1563	610
P125109_01081	P125109_v1_chr	1065590	1066030	-	441	148
P125109_01082	P125109_v1_chr	1066305	1067594	+	1290	916
P125109_01083	P125109_v1_chr	1067591	1069057	+	1467	1247
P125109_01084	P125109_v1_chr	1069059	1069910	+	852	397
P125109_01085	P125109_v1_chr	1069920	1070300	+	381	254
P125109_01086	P125109_v1_chr	1070443	1071246	+	804	488
P125109_01087	P125109_v1_chr	1071257	1072048	+	792	470
P125109_01088	P125109_v1_chr	1072121	1073497	+	1377	699
P125109_01089	P125109_v1_chr	1073507	1074403	+	897	838
P125109_01090	P125109_v1_chr	1074417	1075355	+	939	1109
P125109_01091	P125109_v1_chr	1075508	1075604	+	97	42
P125109_01092	P125109_v1_chr	1075556	1075639	+	84	21
P125109_01093	P125109_v1_chr	1075763	1076125	-	363	155
P125109_01094	P125109_v1_chr	1076678	1076739	+	62	57
P125109_01095	P125109_v1_chr	1076779	1077084	-	306	609
P125109_01096	P125109_v1_chr	1077084	1078004	-	921	569
P125109_01097	P125109_v1_chr	1078125	1078319	-	195	308
P125109_01098	P125109_v1_chr	1078240	1078602	+	363	159
P125109_01099	P125109_v1_chr	1078651	1080537	+	1887	729
P125109_01100	P125109_v1_chr	1080534	1081157	+	624	440
P125109_01101	P125109_v1_chr	1081147	1081653	+	507	120
P125109_01102	P125109_v1_chr	1081786	1082202	+	417	300
P125109_01103	P125109_v1_chr	1082209	1083027	+	819	470
P125109_01104	P125109_v1_chr	1083061	1083288	-	228	126
P125109_01105	P125109_v1_chr	1083309	1083905	-	597	296
P125109_01106	P125109_v1_chr	1084290	1084457	+	168	148
P125109_01107	P125109_v1_chr	1084594	1085232	+	639	63
P125109_01108	P125109_v1_chr	1085229	1085624	-	396	670
P125109_01109	P125109_v1_chr	1085683	1089663	-	3981	2800
P125109_01110	P125109_v1_chr	1090085	1091593	+	1509	906
P125109_01111	P125109_v1_chr	1092211	1092507	+	297	77
P125109_01112	P125109_v1_chr	1092486	1093274	+	789	284
P125109_01113	P125109_v1_chr	1093380	1094261	-	882	603
P125109_01114	P125109_v1_chr	1094343	1094423	-	81	137
P125109_01115	P125109_v1_chr	1094547	1096043	-	1497	2978
P125109_01116	P125109_v1_chr	1096380	1097060	-	681	1982
P125109_01117	P125109_v1_chr	1097578	1098720	+	1143	79
P125109_01118	P125109_v1_chr	1098766	1099458	+	693	1
P125109_01119	P125109_v1_chr	1099741	1101021	+	1281	265
P125109_01120	P125109_v1_chr	1101035	1102138	+	1104	1615
P125109_01121	P125109_v1_chr	1102305	1102598	-	294	224
P125109_01122	P125109_v1_chr	1102629	1102847	+	219	265
P125109_01123	P125109_v1_chr	1102748	1103446	-	699	565
P125109_01124	P125109_v1_chr	1103449	1103907	-	459	44
P125109_01125	P125109_v1_chr	1103900	1103989	-	90	0
P125109_01126	P125109_v1_chr	1104031	1104402	-	372	1
P125109_01127	P125109_v1_chr	1104411	1104851	-	441	1
P125109_01128	P125109_v1_chr	1104871	1105743	-	873	48
P125109_01129	P125109_v1_chr	1105776	1106255	-	480	190
P125109_01130	P125109_v1_chr	1106243	1107634	-	1392	443
P125109_01131	P125109_v1_chr	1108390	1108476	+	87	0
P125109_01132	P125109_v1_chr	1110458	1110712	+	255	149
P125109_01133	P125109_v1_chr	1110712	1111182	+	471	0
P125109_01134	P125109_v1_chr	1111291	1111803	+	513	1
P125109_01135	P125109_v1_chr	1111871	1112323	+	453	2
P125109_01136	P125109_v1_chr	1112386	1112835	+	450	247
P125109_01137	P125109_v1_chr	1112964	1114208	+	1245	1040
P125109_01138	P125109_v1_chr	1114317	1115096	-	780	673
P125109_01139	P125109_v1_chr	1115364	1115642	+	279	0
P125109_01140	P125109_v1_chr	1115639	1116016	+	378	0
P125109_01141	P125109_v1_chr	1116190	1116309	+	120	11
P125109_01142	P125109_v1_chr	1116556	1116768	+	213	58
P125109_01143	P125109_v1_chr	1117226	1118422	-	1197	742
P125109_01144	P125109_v1_chr	1118722	1118816	-	95	0
P125109_01145	P125109_v1_chr	1119072	1119383	+	312	87
P125109_01146	P125109_v1_chr	1119463	1120158	+	696	136
P125109_01147	P125109_v1_chr	1120232	1121662	+	1431	638
P125109_01148	P125109_v1_chr	1121643	1122113	+	471	5
P125109_01149	P125109_v1_chr	1122102	1123022	-	921	250
P125109_01150	P125109_v1_chr	1123198	1124109	+	912	436
P125109_01151	P125109_v1_chr	1124186	1124371	+	186	42
P125109_01152	P125109_v1_chr	1124536	1126248	+	1713	758
P125109_01153	P125109_v1_chr	1126227	1127042	-	816	223
P125109_01154	P125109_v1_chr	1127257	1127343	+	87	0
P125109_01155	P125109_v1_chr	1127352	1127579	-	228	79
P125109_01156	P125109_v1_chr	1127708	1127902	+	195	249
P125109_01157	P125109_v1_chr	1127941	1128564	-	624	99
P125109_01158	P125109_v1_chr	1128846	1129640	-	795	482
P125109_01159	P125109_v1_chr	1129649	1129918	-	270	263
P125109_01160	P125109_v1_chr	1129928	1130665	-	738	299
P125109_01161	P125109_v1_chr	1130665	1131042	-	378	2
P125109_01162	P125109_v1_chr	1131042	1131455	-	414	368
P125109_01163	P125109_v1_chr	1131452	1132456	-	1005	686
P125109_01164	P125109_v1_chr	1132461	1132928	-	468	36
P125109_01165	P125109_v1_chr	1133033	1134250	-	1218	1389
P125109_01166	P125109_v1_chr	1134247	1134690	-	444	92
P125109_01167	P125109_v1_chr	1134712	1136082	-	1371	56
P125109_01168	P125109_v1_chr	1136082	1136789	-	708	437
P125109_01169	P125109_v1_chr	1136782	1137777	-	996	639
P125109_01170	P125109_v1_chr	1137770	1139452	-	1683	1282
P125109_01171	P125109_v1_chr	1139669	1139983	+	315	259
P125109_01172	P125109_v1_chr	1140103	1140489	-	387	424
P125109_01173	P125109_v1_chr	1140754	1140987	-	234	227
P125109_01174	P125109_v1_chr	1140984	1142189	-	1206	548
P125109_01175	P125109_v1_chr	1142375	1142788	+	414	1
P125109_01176	P125109_v1_chr	1142828	1144312	-	1485	788
P125109_01177	P125109_v1_chr	1144384	1144752	-	369	259
P125109_01178	P125109_v1_chr	1144752	1145159	-	408	48
P125109_01179	P125109_v1_chr	1145174	1146580	-	1407	1353
P125109_01180	P125109_v1_chr	1146836	1148353	+	1518	4333
P125109_01181	P125109_v1_chr	1148432	1149637	+	1206	2287
P125109_01182	P125109_v1_chr	1149834	1150553	+	720	606
P125109_01183	P125109_v1_chr	1150612	1151163	+	552	345
P125109_01184	P125109_v1_chr	1151310	1152110	+	801	502
P125109_01185	P125109_v1_chr	1152264	1153250	+	987	789
P125109_01186	P125109_v1_chr	1153271	1153939	+	669	334
P125109_01187	P125109_v1_chr	1153936	1154688	+	753	797
P125109_01188	P125109_v1_chr	1154921	1155643	+	723	1666
P125109_01189	P125109_v1_chr	1155710	1155934	-	225	1300
P125109_01190	P125109_v1_chr	1155931	1156086	-	156	208
P125109_01191	P125109_v1_chr	1156258	1156335	+	78	1
P125109_01192	P125109_v1_chr	1156398	1157054	+	657	1630
P125109_01193	P125109_v1_chr	1157051	1158883	+	1833	1171
P125109_01194	P125109_v1_chr	1158940	1159488	+	549	0
P125109_01195	P125109_v1_chr	1159640	1159715	+	76	1
P125109_01196	P125109_v1_chr	1159767	1159840	+	74	0
P125109_01197	P125109_v1_chr	1159852	1159938	+	87	0
P125109_01198	P125109_v1_chr	1159955	1160005	+	51	131
P125109_01199	P125109_v1_chr	1160318	1160518	+	201	140
P125109_01200	P125109_v1_chr	1160738	1162171	+	1434	2580
P125109_01201	P125109_v1_chr	1162384	1162710	+	327	410
P125109_01202	P125109_v1_chr	1162949	1163614	+	666	293
P125109_01203	P125109_v1_chr	1163689	1164957	-	1269	760
P125109_01204	P125109_v1_chr	1165127	1165366	+	240	38
P125109_01205	P125109_v1_chr	1165412	1165909	-	498	1285
P125109_01206	P125109_v1_chr	1166149	1166484	-	336	446
P125109_01207	P125109_v1_chr	1166740	1167378	+	639	366
P125109_01208	P125109_v1_chr	1167557	1168060	-	504	633
P125109_01209	P125109_v1_chr	1168610	1169167	+	558	560
P125109_01210	P125109_v1_chr	1169702	1170604	+	903	908
P125109_01211	P125109_v1_chr	1170579	1172000	+	1422	1076
P125109_01212	P125109_v1_chr	1172018	1172446	-	429	143
P125109_01213	P125109_v1_chr	1172443	1172559	-	117	2
P125109_01214	P125109_v1_chr	1173242	1173583	+	342	137
P125109_01215	P125109_v1_chr	1173586	1174164	+	579	198
P125109_01216	P125109_v1_chr	1174289	1175176	+	888	248
P125109_01217	P125109_v1_chr	1175173	1176102	+	930	317
P125109_01218	P125109_v1_chr	1176107	1178122	+	2016	1406
P125109_01219	P125109_v1_chr	1178143	1178646	+	504	717
P125109_01220	P125109_v1_chr	1178883	1180544	+	1662	1435
P125109_01221	P125109_v1_chr	1180698	1181564	+	867	606
P125109_01222	P125109_v1_chr	1181561	1182610	+	1050	187
P125109_01223	P125109_v1_chr	1182628	1183017	+	390	218
P125109_01224	P125109_v1_chr	1183025	1183672	+	648	9
P125109_01225	P125109_v1_chr	1183580	1183774	-	195	13
P125109_01226	P125109_v1_chr	1183866	1185017	+	1152	603
P125109_01227	P125109_v1_chr	1185010	1187088	+	2079	2029
P125109_01228	P125109_v1_chr	1187088	1187480	+	393	100
P125109_01229	P125109_v1_chr	1187717	1188856	+	1140	811
P125109_01230	P125109_v1_chr	1188910	1190781	-	1872	856
P125109_01231	P125109_v1_chr	1190970	1192703	-	1734	3
P125109_01232	P125109_v1_chr	1192940	1193509	+	570	73
P125109_01233	P125109_v1_chr	1193529	1194275	+	747	54
P125109_01234	P125109_v1_chr	1194048	1194354	+	307	6
P125109_01235	P125109_v1_chr	1194511	1195482	-	972	482
P125109_01236	P125109_v1_chr	1195479	1196222	-	744	329
P125109_01237	P125109_v1_chr	1196263	1196658	-	396	312
P125109_01238	P125109_v1_chr	1196711	1197529	-	819	1082
P125109_01239	P125109_v1_chr	1197526	1198092	-	567	261
P125109_01240	P125109_v1_chr	1198417	1200189	+	1773	5
P125109_01241	P125109_v1_chr	1200292	1200744	+	453	349
P125109_01242	P125109_v1_chr	1200774	1201514	+	741	133
P125109_01243	P125109_v1_chr	1201551	1202072	+	522	63
P125109_01244	P125109_v1_chr	1202074	1202673	-	600	589
P125109_01245	P125109_v1_chr	1202882	1203574	+	693	2
P125109_01246	P125109_v1_chr	1203934	1204545	+	612	4
P125109_01247	P125109_v1_chr	1204554	1205564	+	1011	4
P125109_01248	P125109_v1_chr	1205643	1206428	-	786	283
P125109_01249	P125109_v1_chr	1206425	1207180	-	756	244
P125109_01250	P125109_v1_chr	1207202	1208203	+	1002	586
P125109_01251	P125109_v1_chr	1208219	1209538	+	1320	1271
P125109_01252	P125109_v1_chr	1209655	1210626	+	972	3
P125109_01253	P125109_v1_chr	1210699	1212141	-	1443	501
P125109_01254	P125109_v1_chr	1212265	1213134	-	870	338
P125109_01255	P125109_v1_chr	1213476	1214951	+	1476	335
P125109_01256	P125109_v1_chr	1214942	1215056	+	115	44
P125109_01257	P125109_v1_chr	1215186	1216997	+	1812	1200
P125109_01258	P125109_v1_chr	1217035	1217676	+	642	25
P125109_01259	P125109_v1_chr	1217776	1218954	-	1179	1037
P125109_01260	P125109_v1_chr	1219085	1219375	+	291	191
P125109_01261	P125109_v1_chr	1219443	1219796	+	354	278
P125109_01262	P125109_v1_chr	1219890	1220549	+	660	621
P125109_01263	P125109_v1_chr	1220640	1220731	-	92	0
P125109_01264	P125109_v1_chr	1220762	1222813	+	2052	2184
P125109_01265	P125109_v1_chr	1222850	1223548	-	699	420
P125109_01266	P125109_v1_chr	1223572	1224228	-	657	358
P125109_01267	P125109_v1_chr	1224336	1224566	-	231	129
P125109_01268	P125109_v1_chr	1224704	1225078	+	375	213
P125109_01269	P125109_v1_chr	1225079	1225954	+	876	198
P125109_01270	P125109_v1_chr	1225971	1226324	+	354	251
P125109_01271	P125109_v1_chr	1226335	1226645	-	311	104
P125109_01272	P125109_v1_chr	1226465	1226567	+	103	0
P125109_01273	P125109_v1_chr	1226707	1227786	-	1080	1027
P125109_01274	P125109_v1_chr	1227761	1228039	-	279	269
P125109_01275	P125109_v1_chr	1228453	1230432	+	1980	2002
P125109_01276	P125109_v1_chr	1230453	1230689	+	237	396
P125109_01277	P125109_v1_chr	1230727	1230849	+	123	1
P125109_01278	P125109_v1_chr	1231064	1231369	+	306	66
P125109_01279	P125109_v1_chr	1231433	1232032	+	600	48
P125109_01280	P125109_v1_chr	1232029	1232256	+	228	171
P125109_01281	P125109_v1_chr	1232386	1233075	+	690	626
P125109_01282	P125109_v1_chr	1233172	1233696	+	525	1813
P125109_01283	P125109_v1_chr	1233930	1234073	+	144	80
P125109_01284	P125109_v1_chr	1234070	1234519	-	450	251
P125109_01285	P125109_v1_chr	1234736	1234873	+	138	546
P125109_01286	P125109_v1_chr	1234880	1235353	-	474	1171
P125109_01287	P125109_v1_chr	1235827	1236171	+	345	616
P125109_01288	P125109_v1_chr	1236155	1236607	+	453	212
P125109_01289	P125109_v1_chr	1236604	1237104	+	501	67
P125109_01290	P125109_v1_chr	1237261	1237626	+	366	234
P125109_01291	P125109_v1_chr	1237667	1237834	-	168	258
P125109_01292	P125109_v1_chr	1237999	1238532	-	534	746
P125109_01293	P125109_v1_chr	1238622	1239317	+	696	227
P125109_01294	P125109_v1_chr	1239327	1239608	+	282	587
P125109_01295	P125109_v1_chr	1239602	1241962	+	2361	1623
P125109_01296	P125109_v1_chr	1242105	1242821	+	717	358
P125109_01297	P125109_v1_chr	1242943	1243170	+	228	244
P125109_01298	P125109_v1_chr	1243372	1244094	-	723	18
P125109_01299	P125109_v1_chr	1244301	1244459	+	159	11
P125109_01300	P125109_v1_chr	1244574	1244855	-	282	0
P125109_01301	P125109_v1_chr	1246206	1246334	+	129	0
P125109_01302	P125109_v1_chr	1246319	1246588	-	270	382
P125109_01303	P125109_v1_chr	1246603	1247172	-	570	1837
P125109_01304	P125109_v1_chr	1247232	1247885	-	654	626
P125109_01305	P125109_v1_chr	1247916	1248146	+	231	84
P125109_01306	P125109_v1_chr	1248200	1248733	+	534	842
P125109_01307	P125109_v1_chr	1248990	1249157	-	168	230
P125109_01308	P125109_v1_chr	1249465	1249956	+	492	163
P125109_01309	P125109_v1_chr	1249943	1250122	+	180	1
P125109_01310	P125109_v1_chr	1250142	1250516	+	375	139
P125109_01311	P125109_v1_chr	1250509	1251105	+	597	60
P125109_01312	P125109_v1_chr	1251426	1252112	+	687	1267
P125109_01313	P125109_v1_chr	1252061	1252561	+	501	627
P125109_01314	P125109_v1_chr	1252658	1252858	-	201	11
P125109_01315	P125109_v1_chr	1253315	1253437	-	123	222
P125109_01316	P125109_v1_chr	1253810	1253935	+	126	169
P125109_01317	P125109_v1_chr	1254117	1254239	+	123	436
P125109_01318	P125109_v1_chr	1254215	1254358	+	144	76
P125109_01319	P125109_v1_chr	1254688	1255302	-	615	529
P125109_01320	P125109_v1_chr	1255312	1255470	-	159	5
P125109_01321	P125109_v1_chr	1255603	1256517	-	915	979
P125109_01322	P125109_v1_chr	1257510	1257759	-	250	0
P125109_01323	P125109_v1_chr	1257982	1258179	-	198	275
P125109_01324	P125109_v1_chr	1258303	1259463	+	1161	705
P125109_01325	P125109_v1_chr	1259544	1259819	-	276	167
P125109_01326	P125109_v1_chr	1259840	1259980	+	141	341
P125109_01327	P125109_v1_chr	1259962	1260231	-	270	100
P125109_01328	P125109_v1_chr	1260604	1261023	+	420	325
P125109_01329	P125109_v1_chr	1261179	1261307	-	129	87
P125109_01330	P125109_v1_chr	1261396	1261872	-	477	977
P125109_01331	P125109_v1_chr	1262004	1262174	-	171	307
P125109_01332	P125109_v1_chr	1262202	1262597	-	396	0
P125109_01333	P125109_v1_chr	1263281	1264003	+	723	136
P125109_01334	P125109_v1_chr	1264288	1264452	+	165	253
P125109_01335	P125109_v1_chr	1264425	1264658	+	234	262
P125109_01336	P125109_v1_chr	1264676	1265326	+	651	809
P125109_01337	P125109_v1_chr	1265345	1265536	-	192	4
P125109_01338	P125109_v1_chr	1265647	1265886	-	240	1
P125109_01339	P125109_v1_chr	1266001	1267542	-	1542	558
P125109_01340	P125109_v1_chr	1267518	1270151	-	2634	1213
P125109_01341	P125109_v1_chr	1270120	1271403	-	1284	386
P125109_01342	P125109_v1_chr	1271460	1272029	+	570	217
P125109_01343	P125109_v1_chr	1272127	1272813	+	687	64
P125109_01344	P125109_v1_chr	1272833	1274881	+	2049	20
P125109_01345	P125109_v1_chr	1275075	1275956	+	882	98
P125109_01346	P125109_v1_chr	1276004	1277377	-	1374	334
P125109_01347	P125109_v1_chr	1277442	1277549	+	108	36
P125109_01348	P125109_v1_chr	1277553	1278344	+	792	393
P125109_01349	P125109_v1_chr	1278556	1278795	-	240	969
P125109_01350	P125109_v1_chr	1278953	1279096	+	144	45
P125109_01351	P125109_v1_chr	1279167	1279454	+	288	87
P125109_01352	P125109_v1_chr	1279458	1279544	-	87	90
P125109_01353	P125109_v1_chr	1279941	1280033	+	93	0
P125109_01354	P125109_v1_chr	1280103	1280246	+	144	160
P125109_01355	P125109_v1_chr	1280259	1280468	+	210	223
P125109_01356	P125109_v1_chr	1280688	1282433	+	1746	474
P125109_01357	P125109_v1_chr	1282499	1283308	+	810	342
P125109_01358	P125109_v1_chr	1283305	1283871	-	567	247
P125109_01359	P125109_v1_chr	1284281	1284739	-	459	276
P125109_01360	P125109_v1_chr	1284798	1285649	-	852	545
P125109_01361	P125109_v1_chr	1285662	1286462	-	801	237
P125109_01362	P125109_v1_chr	1286515	1287483	-	969	372
P125109_01363	P125109_v1_chr	1287633	1287968	+	336	217
P125109_01364	P125109_v1_chr	1287956	1289515	+	1560	672
P125109_01365	P125109_v1_chr	1289537	1291138	-	1602	1173
P125109_01366	P125109_v1_chr	1291276	1292640	-	1365	836
P125109_01367	P125109_v1_chr	1292904	1293482	-	579	172
P125109_01368	P125109_v1_chr	1293486	1294850	-	1365	275
P125109_01369	P125109_v1_chr	1294931	1295110	+	180	124
P125109_01370	P125109_v1_chr	1295116	1295460	-	345	673
P125109_01371	P125109_v1_chr	1295591	1297501	+	1911	1188
P125109_01372	P125109_v1_chr	1297559	1298254	+	696	6
P125109_01373	P125109_v1_chr	1298326	1298907	+	582	217
P125109_01374	P125109_v1_chr	1299046	1300797	+	1752	607
P125109_01375	P125109_v1_chr	1300882	1301997	+	1116	659
P125109_01376	P125109_v1_chr	1302119	1302385	-	267	66
P125109_01377	P125109_v1_chr	1302389	1303201	-	813	730
P125109_01378	P125109_v1_chr	1303225	1303932	-	708	141
P125109_01379	P125109_v1_chr	1304058	1304351	+	294	442
P125109_01380	P125109_v1_chr	1304401	1305060	+	660	1018
P125109_01381	P125109_v1_chr	1305153	1305599	+	447	359
P125109_01382	P125109_v1_chr	1305951	1306088	+	138	93
P125109_01383	P125109_v1_chr	1306115	1306204	-	90	148
P125109_01384	P125109_v1_chr	1306280	1306453	+	174	252
P125109_01385	P125109_v1_chr	1306525	1306866	-	342	326
P125109_01386	P125109_v1_chr	1306975	1307505	-	531	41
P125109_01387	P125109_v1_chr	1307647	1309191	-	1545	966
P125109_01388	P125109_v1_chr	1309411	1310130	+	720	399
P125109_01389	P125109_v1_chr	1310177	1311709	-	1533	1088
